controller,condition,family,seed,success,full_rmse,primary_error,stable_ratio,forward_overshoot,command_smoothness,secondary_time_name,secondary_time,post_peak_or_p95_error,final_error
Nominal Residual PPO,Nominal,noise,1000,True,0.36120957136154175,0.013683193363249302,0.8125,0.005000114440917969,3.3793032343965024e-05,settling_time,3.75,nan,0.005001693498343229
Nominal Residual PPO,Nominal,noise,1001,True,0.3760833442211151,0.016620410606265068,0.81,0.0018596649169921875,4.318963328842074e-05,settling_time,3.8000000000000003,nan,0.0019275072263553739
Nominal Residual PPO,Nominal,noise,1002,True,0.46245697140693665,0.021434780210256577,0.7875,0.007960319519042969,3.219581412849948e-05,settling_time,4.25,nan,0.007963348180055618
Nominal Residual PPO,Nominal,noise,1003,True,0.543838620185852,0.023328004404902458,0.7725,0.005235195159912109,3.670249861897901e-05,settling_time,4.55,nan,0.005236085969954729
Nominal Residual PPO,Nominal,noise,1004,True,0.6163114905357361,0.024074099957942963,0.7625,0.0012950897216796875,4.413809801917523e-05,settling_time,4.75,nan,0.0014178375713527203
Nominal Residual PPO,Nominal,noise,1005,True,0.602458119392395,0.02085922658443451,0.7675,0.0029582977294921875,3.913275577360764e-05,settling_time,4.65,nan,0.0029817847535014153
Nominal Residual PPO,Nominal,noise,1006,True,0.43632838129997253,0.015342536382377148,0.795,0.0030965805053710938,3.6151803215034306e-05,settling_time,4.1000000000000005,nan,0.0031171035952866077
Nominal Residual PPO,Nominal,noise,1007,True,0.6392723321914673,0.02845231257379055,0.755,0.006842613220214844,3.290406311862171e-05,settling_time,4.9,nan,0.00684319855645299
Nominal Residual PPO,Nominal,noise,1008,True,0.533538818359375,0.017587458714842796,0.7775,0.0021986961364746094,3.853837915812619e-05,settling_time,4.45,nan,0.002247939119115472
Nominal Residual PPO,Nominal,noise,1009,True,0.5579289197921753,0.019593173637986183,0.77,0.0003190040588378906,4.177825394435786e-05,settling_time,4.6000000000000005,nan,0.0007689861813560128
Nominal Residual PPO,Nominal,noise,1010,True,0.6557148098945618,0.03814190253615379,0.74,0.009691238403320312,2.8691438274108805e-05,settling_time,5.2,nan,0.00969989225268364
Nominal Residual PPO,Nominal,noise,1011,True,0.4535141885280609,0.015551380813121796,0.79,0.0021457672119140625,3.744530840776861e-05,settling_time,4.2,nan,0.0021974556148052216
Nominal Residual PPO,Nominal,noise,1012,True,0.46328115463256836,0.015351935289800167,0.7925,0.0024318695068359375,3.762917185667902e-05,settling_time,4.15,nan,0.0024710961151868105
Nominal Residual PPO,Nominal,noise,1013,True,0.3158614933490753,0.0154860345646739,0.8175,0.007170677185058594,4.7975743655115366e-05,settling_time,3.6500000000000004,nan,0.0071718767285346985
Nominal Residual PPO,Nominal,noise,1014,True,0.44937044382095337,0.021657641977071762,0.79,0.009518623352050781,2.895778561651241e-05,settling_time,4.2,nan,0.009526695124804974
Nominal Residual PPO,Nominal,noise,1015,True,0.45922550559043884,0.01915055699646473,0.79,0.006839275360107422,3.1763906008563936e-05,settling_time,4.2,nan,0.006839871406555176
Nominal Residual PPO,Nominal,noise,1016,True,0.494822233915329,0.01882169023156166,0.7825,0.003688335418701172,3.6118104617344216e-05,settling_time,4.3500000000000005,nan,0.0036991529632359743
Nominal Residual PPO,Nominal,noise,1017,True,0.25498971343040466,0.012844742275774479,0.8425,0.010333061218261719,2.990682696690783e-05,settling_time,3.1500000000000004,nan,0.010344062931835651
Nominal Residual PPO,Nominal,noise,1018,True,0.35859066247940063,0.017075959593057632,0.8125,0.009282112121582031,3.0020570193300955e-05,settling_time,3.75,nan,0.009289258159697056
Nominal Residual PPO,Nominal,noise,1019,True,0.514828085899353,0.020960848778486252,0.7775,0.004947185516357422,3.52579663740471e-05,settling_time,4.45,nan,0.004948955029249191
Nominal Residual PPO,Nominal,noise,1020,True,0.31911933422088623,0.012227031402289867,0.825,0.0006151199340820312,3.7560319469776005e-05,settling_time,3.5,nan,0.000903709908016026
Nominal Residual PPO,Nominal,noise,1021,True,0.5359554290771484,0.029659701511263847,0.7675,0.010480880737304688,3.4828677598852664e-05,settling_time,4.65,nan,0.010492485947906971
Nominal Residual PPO,Nominal,noise,1022,True,0.6856614947319031,0.029940199106931686,0.7475,0.0062732696533203125,3.501401442917995e-05,settling_time,5.050000000000001,nan,0.006273310631513596
Nominal Residual PPO,Nominal,noise,1023,True,0.5421852469444275,0.0260738767683506,0.7725,0.009636878967285156,3.101288893958554e-05,settling_time,4.55,nan,0.00964532233774662
Nominal Residual PPO,Nominal,noise,1024,True,0.4610966444015503,0.018551960587501526,0.7925,0.003872394561767578,3.8642498111585155e-05,settling_time,4.15,nan,0.003881096839904785
Nominal Residual PPO,Nominal,noise,1025,True,0.20762118697166443,0.007234308402985334,0.8575,0.0015974044799804688,3.6361616366775706e-05,settling_time,2.85,nan,0.001686630304902792
Nominal Residual PPO,Nominal,noise,1026,True,0.509953498840332,0.017274774610996246,0.78,0.0019388198852539062,3.780873157666065e-05,settling_time,4.4,nan,0.0020020385272800922
Nominal Residual PPO,Nominal,noise,1027,True,0.6339989900588989,0.028007719665765762,0.7525,0.005995750427246094,3.274477057857439e-05,settling_time,4.95,nan,0.005995755549520254
Nominal Residual PPO,Nominal,noise,1028,True,0.23994915187358856,0.011350352317094803,0.8475,0.007212638854980469,3.6491335777100176e-05,settling_time,3.0500000000000003,nan,0.007213898003101349
Nominal Residual PPO,Nominal,noise,1029,True,0.2371533215045929,0.008169654756784439,0.8575,0.00034046173095703125,3.6743782402481884e-05,settling_time,2.85,nan,0.0007768401992507279
Nominal Residual PPO,Nominal,noise,1030,True,0.5955281257629395,0.031078556552529335,0.7625,0.008636474609375,3.807864777627401e-05,settling_time,4.75,nan,0.008641497232019901
Nominal Residual PPO,Nominal,noise,1031,True,0.36069607734680176,0.014625695534050465,0.8225,0.0070781707763671875,3.718184962053783e-05,settling_time,3.5500000000000003,nan,0.0070791481994092464
Nominal Residual PPO,Nominal,noise,1032,True,0.2602449357509613,0.014496737159788609,0.8325,0.010565757751464844,3.37668061547447e-05,settling_time,3.35,nan,0.010577704757452011
Nominal Residual PPO,Nominal,noise,1033,True,0.3014245629310608,0.014047013595700264,0.8325,0.009778022766113281,3.062750329263508e-05,settling_time,3.35,nan,0.009787026792764664
Nominal Residual PPO,Nominal,noise,1034,True,0.20482997596263885,0.009737574495375156,0.8525,0.0006427764892578125,4.088414425496012e-05,settling_time,2.95,nan,0.0009202964720316231
Nominal Residual PPO,Nominal,noise,1035,True,0.5005165338516235,0.024039169773459435,0.7775,0.008394241333007812,3.129054312012158e-05,settling_time,4.45,nan,0.008398514240980148
Nominal Residual PPO,Nominal,noise,1036,True,0.49636030197143555,0.018744464963674545,0.785,0.005269050598144531,3.439545616856776e-05,settling_time,4.3,nan,0.005269885063171387
Nominal Residual PPO,Nominal,noise,1037,True,0.4807579517364502,0.021110840141773224,0.785,0.006482601165771484,3.4506556403357536e-05,settling_time,4.3,nan,0.006482794415205717
Nominal Residual PPO,Nominal,noise,1038,True,0.4864528477191925,0.02071700245141983,0.79,0.004140377044677734,4.174105197307654e-05,settling_time,4.2,nan,0.004146654158830643
Nominal Residual PPO,Nominal,noise,1039,True,0.20191071927547455,0.009069062769412994,0.86,0.005900382995605469,3.283248224761337e-05,settling_time,2.8000000000000003,nan,0.005900407675653696
Nominal Residual PPO,Nominal,noise,1040,True,0.2632780075073242,0.011347396299242973,0.845,0.007603645324707031,3.1894462154014036e-05,settling_time,3.1,nan,0.007605741731822491
Nominal Residual PPO,Nominal,noise,1041,True,0.21441344916820526,0.011732560582458973,0.855,0.009401321411132812,3.134053622488864e-05,settling_time,2.9000000000000004,nan,0.009408990852534771
Nominal Residual PPO,Nominal,noise,1042,True,0.4538705050945282,0.01926535926759243,0.7925,0.006130218505859375,3.403717710170895e-05,settling_time,4.15,nan,0.00613022455945611
Nominal Residual PPO,Nominal,noise,1043,True,0.5642242431640625,0.02418181486427784,0.7725,0.0041866302490234375,4.1297098505310714e-05,settling_time,4.55,nan,0.004192560911178589
Nominal Residual PPO,Nominal,noise,1044,True,0.5992311835289001,0.018117617815732956,0.7675,0.00012683868408203125,4.175200228928588e-05,settling_time,4.65,nan,0.0007362143369391561
Nominal Residual PPO,Nominal,noise,1045,True,0.24043115973472595,0.011921352706849575,0.8475,0.007683753967285156,3.649918653536588e-05,settling_time,3.0500000000000003,nan,0.00768606411293149
Nominal Residual PPO,Nominal,noise,1046,True,0.631199836730957,0.02813066728413105,0.755,0.006968975067138672,3.281731915194541e-05,settling_time,4.9,nan,0.006969756912440062
Nominal Residual PPO,Nominal,noise,1047,True,0.3337308168411255,0.012694326229393482,0.82,0.0034356117248535156,3.581165583455004e-05,settling_time,3.6,nan,0.0034499196335673332
Nominal Residual PPO,Nominal,noise,1048,True,0.3474729061126709,0.0179937444627285,0.81,0.010003089904785156,3.533685230650008e-05,settling_time,3.8000000000000003,nan,0.010012884624302387
Nominal Residual PPO,Nominal,noise,1049,True,0.5319633483886719,0.025200750678777695,0.77,0.008275985717773438,3.021694465132896e-05,settling_time,4.6000000000000005,nan,0.008279870264232159
Nominal Residual PPO,Nominal,noise,1050,True,0.435098797082901,0.022915424779057503,0.7925,0.010535240173339844,3.057906360481866e-05,settling_time,4.15,nan,0.010547056794166565
Nominal Residual PPO,Nominal,noise,1051,True,0.26431789994239807,0.011323736049234867,0.8425,0.0019488334655761719,3.8478916394524276e-05,settling_time,3.1500000000000004,nan,0.0020110695622861385
Nominal Residual PPO,Nominal,noise,1052,True,0.47278934717178345,0.018222589045763016,0.7875,0.00439453125,3.500355524010956e-05,settling_time,4.25,nan,0.004399011377245188
Nominal Residual PPO,Nominal,noise,1053,True,0.24837136268615723,0.012827897444367409,0.845,0.008838653564453125,3.602297874749638e-05,settling_time,3.1,nan,0.00884433463215828
Nominal Residual PPO,Nominal,noise,1054,True,0.6391269564628601,0.025665367022156715,0.755,0.0050983428955078125,3.484204353298992e-05,settling_time,4.9,nan,0.005099654197692871
Nominal Residual PPO,Nominal,noise,1055,True,0.3062325417995453,0.0146825285628438,0.8225,0.006227970123291016,4.855276711168699e-05,settling_time,3.5500000000000003,nan,0.006228003650903702
Nominal Residual PPO,Nominal,noise,1056,True,0.24839964509010315,0.011969815008342266,0.835,0.0048847198486328125,4.1557195800123736e-05,settling_time,3.3000000000000003,nan,0.004886659327894449
Nominal Residual PPO,Nominal,noise,1057,True,0.40564143657684326,0.01490121427923441,0.8025,0.0034117698669433594,3.6218527384335175e-05,settling_time,3.95,nan,0.003426517592743039
Nominal Residual PPO,Nominal,noise,1058,True,0.6312327980995178,0.028171991929411888,0.7575,0.005010128021240234,3.878829738823697e-05,settling_time,4.8500000000000005,nan,0.0050116428174078465
Nominal Residual PPO,Nominal,noise,1059,True,0.39726656675338745,0.016073452308773994,0.805,0.004569053649902344,3.670670776045881e-05,settling_time,3.9000000000000004,nan,0.0045724413357675076
