controller,condition,success_rate,full_rmse_mean,primary_error_mean,primary_error_std,stable_ratio_mean,forward_overshoot_mean,command_smoothness_mean,secondary_time_mean,post_peak_or_p95_error_mean
Nominal Residual PPO,Nominal,1.0,0.404345293790102,0.017267666775733232,0.006260791708599475,0.8057999999999998,0.005319924354553223,3.60298520536162e-05,3.8840000000000003,nan
Robust Residual PPO,Nominal,1.0,0.4018442590534687,0.008759565844666212,0.004814944289356987,0.7931999999999999,0.0012850487232208252,1.777441804733826e-05,4.136,nan
Nominal Residual PPO,Position noise 0.10 m,1.0,0.4056119480729103,0.026906751226633788,0.006657485086323297,0.8001999999999998,0.015540531873703002,0.014307988481596113,4.0760000000000005,nan
Robust Residual PPO,Position noise 0.10 m,1.0,0.40306179225444794,0.022793073123320937,0.003909368385519377,0.7779999999999998,0.032612849473953244,0.03128363301977515,12.23,nan
Nominal Residual PPO,Velocity noise 0.10 m/s,0.99,0.4080420735478401,0.039072941914200784,0.008792325695091628,0.7626,0.03451509952545166,0.06304723266512155,16.853030303030305,nan
Robust Residual PPO,Velocity noise 0.10 m/s,0.97,0.4046612367033958,0.0283167193364352,0.004899397084201048,0.7465,0.04055726408958435,0.07667415305972099,17.828350515463917,nan
Nominal Residual PPO,Delay 400 ms,1.0,0.39448763743042947,0.008870443839114159,0.00358524938368773,0.8085249999999999,0.006186718344688416,7.714410268818028e-05,3.9175000000000004,nan
Robust Residual PPO,Delay 400 ms,1.0,0.39289538487792014,0.00672461430542171,0.0018948485566648871,0.817975,0.009666013717651366,6.644020304520381e-05,3.6404999999999994,nan
Nominal Residual PPO,Vision loss 1.0 s,1.0,0.4034932931630733,0.011322884107289224,0.00547946418476799,0.8008249999999998,0.008893381357192993,0.00012138207981479354,0.21100000000000008,0.10627677856013179
Robust Residual PPO,Vision loss 1.0 s,1.0,0.40119762117732194,0.005512645772157337,0.003397756967430946,0.7896249999999999,0.010826786756515503,0.00021690802266675747,0.27000000000000013,0.08816448389552534
Nominal Residual PPO,Speed step,1.0,0.4045475204110452,0.01831785092574785,0.003816097652026097,0.9909964412811391,0.012179708480834961,0.00023464274141588249,0.07650000000000062,0.04539791353046894
Robust Residual PPO,Speed step,1.0,0.4019177205893125,0.009891512353182292,0.002115921002211942,0.990284697508897,0.002756671905517578,0.00030137364694382996,0.08650000000000059,0.01972044478170574
Nominal Residual PPO,Lateral sine,1.0,0.4060403845322784,0.0430585195947395,0.0013855398252689759,0.9788612099644131,0.010521556062399035,0.00041286093823146076,0.24700000000000003,0.06349904149770737
Robust Residual PPO,Lateral sine,1.0,0.4032369286375836,0.03776901676585251,0.0005763735720111543,0.9785765124555164,0.013959754891438214,0.0004345988974091597,0.251,0.05616298951208591
Nominal Residual PPO,Constant turn,1.0,0.40483935865236154,0.024352336350566807,0.005609377282630706,1.0,0.013838688396038062,5.144233993632952e-05,0.0,0.037026485782116654
Robust Residual PPO,Constant turn,1.0,0.40255586213260064,0.02632351079867701,0.006587204618127795,1.0,0.012417781274902773,3.2645279370626666e-05,0.0,0.03654072791337967
