method,delay_steps,delay_ms,success_rate,rmse_mean,rmse_std,steady_rmse_mean,steady_rmse_std,stable_ratio_mean,capture_time_mean,capture_time_std,settling_time_mean,settling_time_std,forward_overshoot_mean,meaningful_ahead_ratio_mean,command_smoothness_mean,max_command_change_mean
PD+FF,0,0.0,1.0,0.4330287542939186,0.13662340949804827,0.05578290682286024,0.019185676410636975,0.7215250000000002,5.5695,0.7701264506559946,5.5695,0.7701264506559946,0.0,0.0,1.023695691856119e-05,0.011710480977781117
Direct PPO,0,0.0,1.0,0.38450867667794225,0.14209573144097928,0.006329792309552431,0.0033339791323978947,0.8410750000000001,3.1795,0.6646087194733454,3.1795,0.6646087194733454,0.007489265203475952,0.0,0.002324956264346838,0.4500536586344242
Residual PPO,0,0.0,1.0,0.404345293790102,0.1387627861696162,0.017267666775733232,0.006260791708599475,0.8057999999999998,3.8840000000000003,0.6544035452226706,3.8840000000000003,0.6544035452226706,0.005319924354553223,0.0,3.60298520536162e-05,0.05494445901364088
PD+FF,2,100.0,1.0,0.42840468376874924,0.13628542036529526,0.0498348992317915,0.017592146640164057,0.7321749999999999,5.3565,0.75145375772565,5.3565,0.75145375772565,0.0,0.0,1.06845631376018e-05,0.012015703534707427
Direct PPO,2,100.0,0.65,0.38391703441739083,0.1424155903208993,0.014375154096633196,0.001774247427388884,0.54175,4.3965517241379315,0.7096539995298777,19.888805970149257,0.05586557394690497,0.030558349788188933,0.0069250000000000015,0.08174377173185349,0.6053556853532791
Residual PPO,2,100.0,1.0,0.4015557546913624,0.13900089356591724,0.014416464045643807,0.005417941881946608,0.8091999999999999,3.8160000000000007,0.6743100177218192,3.8160000000000007,0.6743100177218192,0.005330152511596679,0.0,4.8412205833301416e-05,0.06327866870909929
PD+FF,4,200.0,1.0,0.42381022989749906,0.1360207354715841,0.043828817866742614,0.015973516990899755,0.7432500000000002,5.135000000000002,0.7294004387166215,5.135000000000002,0.7294004387166215,0.0,0.0,1.116996509153978e-05,0.012237988403066993
Direct PPO,4,200.0,0.0,0.38444225370883944,0.1424035987292804,0.03340200440958142,0.0013533747785292275,0.2803,nan,nan,19.87,0.05099019513592857,0.08362496674060821,0.025125,0.07276065491139888,0.6668962886929513
Residual PPO,4,200.0,1.0,0.398937463760376,0.13927584017745745,0.012001585285179316,0.004685447574097631,0.8106749999999999,3.7865,0.6877083320710896,3.7865,0.6877083320710896,0.005337352752685547,0.0,6.071212847018615e-05,0.06910242557525635
PD+FF,6,300.00000000000006,1.0,0.4193427424132824,0.13581541847665904,0.03777699349448085,0.014319501523327206,0.7548750000000001,4.9025,0.7097666870176426,4.9025,0.7097666870176426,1.9073486328125e-08,0.0,1.1691596441778528e-05,0.012435850906185805
Direct PPO,6,300.00000000000006,0.0,0.38857881620526313,0.1410211211716514,0.06541251327842473,0.0049530653319913055,0.165675,nan,nan,19.887500000000003,0.05214163403653627,0.13967813551425934,0.042400000000000014,0.057694276683032515,0.705779914855957
Residual PPO,6,300.00000000000006,1.0,0.39655753687024115,0.13955757339504415,0.010089218856301159,0.0040623050077503095,0.8105249999999999,3.7960000000000003,0.6768929014253289,3.7960000000000003,0.6768929014253289,0.005341863632202149,0.0,6.97821518042474e-05,0.07328700337558985
PD+FF,8,400.0,1.0,0.4150832077860832,0.13565192468687085,0.031683119712397456,0.012616467407344359,0.7667,4.666,0.6877455924976911,4.666,0.6877455924976911,3.0040740966796875e-07,0.0,1.2249437943410158e-05,0.012599636614322663
Direct PPO,8,400.0,0.0,0.4031386210024357,0.13616649813923629,0.1220917821675539,0.014680921525128773,0.0502,nan,nan,19.900000000000002,0.05590169943749553,0.18964656233787536,0.190625,0.04540076859295368,0.7221698832511901
Residual PPO,8,400.0,1.0,0.39448763743042947,0.1398131645032021,0.008870443839114159,0.00358524938368773,0.8085249999999999,3.9175000000000004,0.6824358944252565,3.9175000000000004,0.6824358944252565,0.006186718344688416,0.0,7.714410268818028e-05,0.07780980870127678
