method,seed,position_noise_std,velocity_noise_std,initial_uav_x,initial_uav_y,ugv_vx,success,rmse,steady_rmse,final_error,final_relative_speed,stable_ratio,capture_time,settling_time,forward_overshoot,meaningful_ahead_ratio,command_smoothness,mean_command_change,max_command_change
PD+FF,1000,0.0,0.0,-1.2179213762283325,0.20768369734287262,0.34128254652023315,True,0.39136919379234314,0.0498858317732811,0.00018216944590676576,8.522508869646117e-05,0.7275,5.45,5.45,0.0,0.0,9.253983989765402e-06,0.001520100049674511,0.011309412308037281
PD+FF,1001,0.0,0.0,-1.0811076164245605,-0.9685990810394287,0.25630688667297363,True,0.4113299548625946,0.05017565190792084,0.0001892554573714733,8.807434642221779e-05,0.7275,5.45,5.45,0.0,0.0,1.2107148904760834e-05,0.0017172207590192556,0.012563809752464294
PD+FF,1002,0.0,0.0,-1.428768277168274,-0.28562131524086,0.4242836833000183,True,0.4867212176322937,0.06424155831336975,0.0002367127890465781,0.00010997827484970912,0.7,6.0,6.0,0.0,0.0,9.875688192551024e-06,0.0015813339268788695,0.012706439010798931
PD+FF,1003,0.0,0.0,-1.7183640003204346,-0.48658838868141174,0.34840381145477295,True,0.5702425241470337,0.07443037629127502,0.00027939255232922733,0.0001302628224948421,0.6825,6.3500000000000005,6.3500000000000005,0.0,0.0,1.3503862646757625e-05,0.0018862043507397175,0.01448912639170885
PD+FF,1004,0.0,0.0,-1.998679280281067,-0.7396973967552185,0.24154320359230042,True,0.6472413539886475,0.08279843628406525,0.0003115232684649527,0.0001450748968636617,0.6725,6.550000000000001,6.550000000000001,0.0,0.0,1.9440163669059984e-05,0.002270542783662677,0.017156504094600677
PD+FF,1005,0.0,0.0,-1.8766711950302124,0.8611240983009338,0.28618520498275757,True,0.631523847579956,0.08100856095552444,0.0003047782520297915,0.00014202846796251833,0.675,6.5,6.5,0.0,0.0,1.8657719920156524e-05,0.002244742354378104,0.016464684158563614
PD+FF,1006,0.0,0.0,-1.4946178197860718,0.20171388983726501,0.28934937715530396,True,0.4673650860786438,0.059480901807546616,0.0002086157473968342,9.824447624851018e-05,0.7075,5.8500000000000005,5.8500000000000005,0.0,0.0,1.291574244532967e-05,0.0017976233502849936,0.013271658681333065
PD+FF,1007,0.0,0.0,-1.8931626081466675,0.6319606900215149,0.39287856221199036,True,0.6590248942375183,0.08976595848798752,0.00032426786492578685,0.00015194929437711835,0.6625,6.75,6.75,0.0,0.0,1.2814587535103783e-05,0.0019380656303837895,0.013735984452068806
PD+FF,1008,0.0,0.0,-1.749120831489563,0.6261014938354492,0.26522985100746155,True,0.5649934411048889,0.07190040498971939,0.00025792987435124815,0.00012115007848478854,0.6875,6.25,6.25,0.0,0.0,1.7375461538904347e-05,0.0021078025456517935,0.015731336548924446
PD+FF,1009,0.0,0.0,-1.9152493476867676,-0.3461688160896301,0.2149554342031479,True,0.5897302031517029,0.07501934468746185,0.0002777756890282035,0.00012928456999361515,0.6825,6.3500000000000005,6.3500000000000005,0.0,0.0,1.7958480384550057e-05,0.0020973056089133024,0.016424525529146194
PD+FF,1010,0.0,0.0,-1.8575115203857422,0.07161146402359009,0.4753030240535736,True,0.669784665107727,0.09935972094535828,0.0003825050953309983,0.00017739208124112338,0.6525,6.95,6.95,0.0,0.0,7.943538548715878e-06,0.001366750686429441,0.011787151917815208
PD+FF,1011,0.0,0.0,-1.57381272315979,0.12664707005023956,0.26378002762794495,True,0.4848319888114929,0.061548374593257904,0.00022026598162483424,0.00010332273814128712,0.705,5.9,5.9,0.0,0.0,1.3891313756175805e-05,0.0018589613027870655,0.013753852806985378
PD+FF,1012,0.0,0.0,-1.5405192375183105,0.561293363571167,0.2715309262275696,True,0.49596548080444336,0.06263516843318939,0.00022886469378136098,0.00010705483873607591,0.7025,5.95,5.95,0.0,0.0,1.5104847989277914e-05,0.001963128335773945,0.014041231945157051
PD+FF,1013,0.0,0.0,-0.8082606196403503,-0.8420410752296448,0.401797890663147,True,0.3475196063518524,0.043153293430805206,0.0001675401726970449,7.779265433782712e-05,0.7425,5.15,5.15,0.0,0.0,8.645255547889974e-06,0.0014647375792264938,0.010300816036760807
PD+FF,1014,0.0,0.0,-1.3467140197753906,0.1714046150445938,0.4693894386291504,True,0.4703527092933655,0.06307174265384674,0.0002477251982782036,0.00011487104347907007,0.7025,5.95,5.95,0.0,0.0,8.174680260708556e-06,0.0014172138180583715,0.011730053462088108
PD+FF,1015,0.0,0.0,-1.4601455926895142,0.21413566172122955,0.39239153265953064,True,0.48490071296691895,0.0634407326579094,0.0002286761737195775,0.00010717355326050892,0.7,6.0,6.0,0.0,0.0,1.0737347110989504e-05,0.0016144018154591322,0.01325275469571352
PD+FF,1016,0.0,0.0,-1.6580126285552979,-0.11461202055215836,0.3060871958732605,True,0.5239441990852356,0.06754075735807419,0.0002592314558569342,0.0001204273576149717,0.695,6.1000000000000005,6.1000000000000005,0.0,0.0,1.3606318134407047e-05,0.0017798200715333223,0.014452640898525715
PD+FF,1017,0.0,0.0,-0.62247234582901,0.6426637768745422,0.4917738139629364,True,0.28519752621650696,0.03620951995253563,0.0001299832365475595,6.0997186665190384e-05,0.7625,4.75,4.75,0.0,0.0,5.959328973403899e-06,0.0012201081262901425,0.008361628279089928
PD+FF,1018,0.0,0.0,-1.1090368032455444,-0.0900818482041359,0.4614541530609131,True,0.3848990499973297,0.05073089897632599,0.0001719491119729355,8.170118235284463e-05,0.725,5.5,5.5,0.0,0.0,8.032200639718212e-06,0.0013786191120743752,0.010755002498626709
PD+FF,1019,0.0,0.0,-1.674609661102295,-0.20800989866256714,0.34006524085998535,True,0.5413253307342529,0.07049151510000229,0.0002499657275620848,0.0001174947974504903,0.69,6.2,6.2,0.0,0.0,1.2651531505980529e-05,0.001745411311276257,0.014506306499242783
PD+FF,1020,0.0,0.0,-1.1319496631622314,-0.4326494336128235,0.2227078378200531,True,0.3516785204410553,0.043212275952100754,0.00016398723528254777,7.610748434672132e-05,0.7425,5.15,5.15,0.0,0.0,8.466949111607391e-06,0.0014409160939976573,0.010744811035692692
PD+FF,1021,0.0,0.0,-1.4384177923202515,-0.8382971882820129,0.49743902683258057,True,0.5578306913375854,0.0757247656583786,0.00027326575946062803,0.0001280457800021395,0.6825,6.3500000000000005,6.3500000000000005,0.0,0.0,1.1136644388898276e-05,0.0018288372084498405,0.011856011115014553
PD+FF,1022,0.0,0.0,-1.999210000038147,0.8368335366249084,0.37694433331489563,True,0.7060253024101257,0.0961732417345047,0.0003435486287344247,0.00016127314302138984,0.655,6.9,6.9,0.0,0.0,1.4988871043897234e-05,0.002129973378032446,0.014383488334715366
PD+FF,1023,0.0,0.0,-1.4916963577270508,0.8117974996566772,0.4728805720806122,True,0.5634070634841919,0.07583523541688919,0.000292059441562742,0.00013524768291972578,0.6825,6.3500000000000005,6.3500000000000005,0.0,0.0,1.1616323718044441e-05,0.001853868830949068,0.0124141164124012
PD+FF,1024,0.0,0.0,-1.51630699634552,-0.48329436779022217,0.3110935389995575,True,0.49306005239486694,0.062924824655056,0.00024198778555728495,0.00011246983922319487,0.7025,5.95,5.95,0.0,0.0,1.4109899893810507e-05,0.0018929069628939033,0.013781343586742878
PD+FF,1025,0.0,0.0,-0.7683239579200745,0.258014976978302,0.24864348769187927,True,0.2379724681377411,0.02911241166293621,0.00010410708637209609,4.877444007433951e-05,0.785,4.3,4.3,0.0,0.0,4.064035238116048e-06,0.0009878510609269142,0.007569118402898312
PD+FF,1026,0.0,0.0,-1.7438942193984985,0.19023452699184418,0.2583710551261902,True,0.5404785871505737,0.06903725117444992,0.0002507434692233801,0.00011735523003153503,0.6925,6.15,6.15,0.0,0.0,1.5523391994065605e-05,0.0019217288354411721,0.015091853216290474
PD+FF,1027,0.0,0.0,-1.9580382108688354,0.12429128587245941,0.36954861879348755,True,0.6535987257957458,0.0890684649348259,0.0003293035551905632,0.00015373490168713033,0.665,6.7,6.7,0.0,0.0,1.1462567272246815e-05,0.0016547916457057,0.013933063484728336
PD+FF,1028,0.0,0.0,-0.7757433652877808,-0.22796711325645447,0.4025936424732208,True,0.2674235999584198,0.03408209979534149,0.00012557105219457299,5.8620447816792876e-05,0.7675,4.65,4.65,0.0,0.0,4.667063876695465e-06,0.0010792531538754702,0.00797688215970993
PD+FF,1029,0.0,0.0,-0.7448340058326721,0.6458722352981567,0.214758962392807,True,0.2721712589263916,0.03273220360279083,0.00011888256267411634,5.567484186030924e-05,0.7725,4.55,4.55,0.0,0.0,5.7732477216632105e-06,0.0011676131980493665,0.00884232483804226
PD+FF,1030,0.0,0.0,-1.6447029113769531,-0.9496257901191711,0.4438457489013672,True,0.6191850900650024,0.08324293792247772,0.00030121952295303345,0.00014150234346743673,0.6725,6.550000000000001,6.550000000000001,0.0,0.0,1.3882283383281901e-05,0.002034495584666729,0.013323070481419563
PD+FF,1031,0.0,0.0,-0.9611496329307556,0.9009804725646973,0.39864641427993774,True,0.395412415266037,0.04941524192690849,0.0001802272308850661,8.437269571004435e-05,0.7275,5.45,5.45,0.0,0.0,1.0768076208478305e-05,0.0016454384895041585,0.011537126265466213
PD+FF,1032,0.0,0.0,-0.6833899617195129,-0.5306191444396973,0.49894750118255615,True,0.28817546367645264,0.037116989493370056,0.0001285581529373303,6.0355283494573087e-05,0.76,4.800000000000001,4.800000000000001,0.0,0.0,5.8058112699654885e-06,0.0012139761820435524,0.008362779393792152
PD+FF,1033,0.0,0.0,-0.7577928304672241,0.7459949851036072,0.4761985242366791,True,0.3333680033683777,0.04225906729698181,0.0001713000820018351,7.865240331739187e-05,0.745,5.1000000000000005,5.1000000000000005,0.0,0.0,7.841154001653194e-06,0.001407257397659123,0.00961918756365776
PD+FF,1034,0.0,0.0,-0.5296080112457275,-0.6777904629707336,0.22327283024787903,True,0.23305276036262512,0.027834761887788773,0.00010485007805982605,4.883089422946796e-05,0.79,4.2,4.2,0.0,0.0,4.443073976290179e-06,0.0010142256505787373,0.007794696372002363
PD+FF,1035,0.0,0.0,-1.5201642513275146,-0.23973245918750763,0.436818927526474,True,0.5220298767089844,0.06999964267015457,0.00026359205367043614,0.0001227246248163283,0.69,6.2,6.2,0.0,0.0,9.358631359646097e-06,0.0015419472474604845,0.012494298629462719
PD+FF,1036,0.0,0.0,-1.558912754058838,0.6018440127372742,0.34900519251823425,True,0.5252459645271301,0.06770697981119156,0.00025260401889681816,0.00011793676094384864,0.695,6.1000000000000005,6.1000000000000005,0.0,0.0,1.4114476471149828e-05,0.0019164391560479999,0.01447001937776804
PD+FF,1037,0.0,0.0,-1.5164998769760132,-0.3818822205066681,0.38270920515060425,True,0.5074259638786316,0.0662277415394783,0.00024446434690617025,0.00011430310405557975,0.695,6.1000000000000005,6.1000000000000005,0.0,0.0,1.1634341717581265e-05,0.00172640650998801,0.013623314909636974
PD+FF,1038,0.0,0.0,-1.5098652839660645,-0.8029577136039734,0.31811848282814026,True,0.5201565027236938,0.06598910689353943,0.00024105171905830503,0.00011273635027464479,0.6975,6.050000000000001,6.050000000000001,0.0,0.0,1.6223546481342055e-05,0.00204478413797915,0.0144917918369174
PD+FF,1039,0.0,0.0,-0.6960156559944153,-0.0387578122317791,0.3661683201789856,True,0.22868050634860992,0.028877440840005875,0.00011737993190763518,5.412814425653778e-05,0.785,4.3,4.3,0.0,0.0,3.4817796858988004e-06,0.000918391568120569,0.006991086062043905
PD+FF,1040,0.0,0.0,-0.7547146081924438,0.5635512471199036,0.4134989380836487,True,0.2943013608455658,0.03702843561768532,0.0001421621855115518,6.683987157884985e-05,0.76,4.800000000000001,4.800000000000001,0.0,0.0,6.050549018254969e-06,0.0012316314969211817,0.008748949505388737
