noise_type,noise_std,method,success_rate,rmse_mean,rmse_std,steady_rmse_mean,steady_rmse_std,stable_ratio_mean,capture_time_mean,capture_time_std,settling_time_mean,forward_overshoot_mean,meaningful_ahead_ratio_mean,command_smoothness_mean,max_command_change_mean
position,0.0,PD+FF,1.0,0.4330287542939186,0.13662340949804827,0.05578290682286024,0.019185676410636975,0.7215250000000002,5.5695,0.7701264506559946,5.5695,0.0,0.0,1.023695691856119e-05,0.011710480977781117
position,0.0,Direct PPO,1.0,0.38450867667794225,0.14209573144097928,0.006329792309552431,0.0033339791323978947,0.8410750000000001,3.1795,0.6646087194733454,3.1795,0.007489265203475952,0.0,0.002324956264346838,0.4500536586344242
position,0.0,Residual PPO,1.0,0.404345293790102,0.1387627861696162,0.017267666775733232,0.006260791708599475,0.8057999999999998,3.8840000000000003,0.6544035452226706,3.8840000000000003,0.005319924354553223,0.0,3.60298520536162e-05,0.05494445901364088
position,0.01,PD+FF,1.0,0.433041156232357,0.136613750606114,0.0558007950335741,0.019125153320803275,0.7215500000000001,5.569,0.7712256479137608,5.569,0.0005518913269042969,0.0,9.159894092590548e-05,0.025691250003874302
position,0.01,Direct PPO,1.0,0.3845161047577858,0.14210018466202173,0.006392167860176414,0.0031287746934654708,0.8406250000000002,3.1999999999999993,0.6592040655214438,3.1999999999999993,0.009822335243225098,0.0,0.01977656395174563,0.49035624593496324
position,0.01,Residual PPO,1.0,0.40436686694622037,0.13875810119614754,0.017424365533515812,0.006221015809824359,0.8057500000000001,3.885,0.6527442071746022,3.885,0.006428806781768799,0.0,0.00018060868882457725,0.05915528900921345
position,0.03,PD+FF,1.0,0.4330971021950245,0.13659512755449651,0.055959504563361406,0.01899247623610294,0.7213500000000002,5.5729999999999995,0.7653567795479439,5.5729999999999995,0.0026538419723510743,0.0,0.0007425792870344594,0.06938831832259894
position,0.03,Direct PPO,1.0,0.384579956382513,0.14208024322520163,0.008550679772160947,0.0018831233116874363,0.8379249999999998,3.3080000000000003,0.6734136915745031,3.6245000000000003,0.013837974071502685,5e-05,0.1287010759115219,0.899083309173584
position,0.03,Residual PPO,1.0,0.40448805555701256,0.13873471160875325,0.01849434877745807,0.006289740298825872,0.8056749999999998,3.8865000000000003,0.6441605001860949,3.8865000000000003,0.00891183853149414,0.0,0.0013381558703258634,0.09805989153683185
position,0.05,PD+FF,1.0,0.43319691479206085,0.13657424411631194,0.05628005869686604,0.01884437913273859,0.7212500000000002,5.575,0.7636589552935263,5.575,0.004966921806335449,0.0,0.0020443773071747275,0.114897625669837
position,0.05,Direct PPO,0.99,0.3846973231434822,0.1420579433951801,0.013391791535541415,0.0021536105597397973,0.8264,3.466,0.7394213954167137,14.509595959595957,0.017716997265815736,0.0002,0.27891962304711343,1.2976755475997925
position,0.05,Residual PPO,1.0,0.40470017805695535,0.13868511212640708,0.020306651694700122,0.006398080275520596,0.8051249999999999,3.8985000000000003,0.6343285820456146,3.8985000000000003,0.011159842014312743,0.0,0.003644761296454817,0.15867037519812585
position,0.1,PD+FF,1.0,0.4336428228020668,0.13652365949491638,0.05776030652225018,0.018436292863162222,0.7209250000000001,5.586,0.7670749637421366,5.586,0.011228137016296387,0.0,0.008143033990636468,0.22930521473288537
position,0.1,Direct PPO,0.86,0.38550735875964165,0.1417878317065281,0.028917448949068784,0.004589016562842469,0.7131500000000002,3.8709999999999996,0.9110208559632431,19.41337209302326,0.029398022294044493,0.0008749999999999999,0.7193187916278839,2.0393520581722258
position,0.1,Residual PPO,1.0,0.4056119480729103,0.1384334113742419,0.026906751226633788,0.006657485086323297,0.8001999999999998,4.015,0.6369262123668643,4.0760000000000005,0.015540531873703002,0.0,0.014307988481596113,0.3107734909653664
velocity,0.0,PD+FF,1.0,0.4330287542939186,0.13662340949804827,0.05578290682286024,0.019185676410636975,0.7215250000000002,5.5695,0.7701264506559946,5.5695,0.0,0.0,1.023695691856119e-05,0.011710480977781117
velocity,0.0,Direct PPO,1.0,0.38450867667794225,0.14209573144097928,0.006329792309552431,0.0033339791323978947,0.8410750000000001,3.1795,0.6646087194733454,3.1795,0.007489265203475952,0.0,0.002324956264346838,0.4500536586344242
velocity,0.0,Residual PPO,1.0,0.404345293790102,0.1387627861696162,0.017267666775733232,0.006260791708599475,0.8057999999999998,3.8840000000000003,0.6544035452226706,3.8840000000000003,0.005319924354553223,0.0,3.60298520536162e-05,0.05494445901364088
velocity,0.01,PD+FF,1.0,0.4330569392442703,0.13666659243196974,0.055920101944357155,0.01931048071593616,0.721425,5.5714999999999995,0.7747985221978679,5.5714999999999995,0.002126648426055908,0.0,0.0005030546756461262,0.058074724338948724
velocity,0.01,Direct PPO,1.0,0.38450843796133993,0.14209990693421387,0.006562990371603519,0.0030780006911766957,0.8404249999999999,3.2030000000000003,0.6553174803101165,3.2030000000000003,0.0110520601272583,0.0,0.03300000814720988,0.5414269608259201
