alpha,ugv_vx_mean,steady_rmse_reduction_mean,paired_episodes
0.0,0.21751289665699,0.00696789484736198,10
0.0,0.2576854220207999,0.007565036561159442,17
0.0,0.2990544667610755,0.008393981887533724,13
0.0,0.3352919792135556,0.009516559105346083,12
0.0,0.37281725081530487,0.009184881065820265,11
0.0,0.4053986939516934,0.008243208384276583,11
0.0,0.4444709772413427,0.009150462250290635,11
0.0,0.4821440358956655,0.009122732886438768,15
0.25,0.21751289665699,0.00305039597469938,10
0.25,0.2576854220207999,0.003476752062103035,17
0.25,0.2990544667610755,0.004110300934006177,13
0.25,0.3352919792135556,0.004964430619910508,12
0.25,0.37281725081530487,0.005036693949869245,11
0.25,0.4053986939516934,0.004296204985386836,11
0.25,0.4444709772413427,0.005048396772602991,11
0.25,0.4821440358956655,0.0049892172796036196,15
0.5,0.21751289665699,0.00192035295770276,10
0.5,0.2576854220207999,0.0026362627845658944,17
0.5,0.2990544667610755,0.0033395080535796847,13
0.5,0.3352919792135556,0.0042149024252968,12
0.5,0.37281725081530487,0.004751563137760818,11
0.5,0.4053986939516934,0.004044238439113409,11
0.5,0.4444709772413427,0.004426401613644282,11
0.5,0.4821440358956655,0.004589904661426573,15
0.75,0.21751289665699,0.00519499630184945,10
0.75,0.2576854220207999,0.005376906712746059,17
0.75,0.2990544667610755,0.004896603950705101,13
0.75,0.3352919792135556,0.005019249193833816,12
0.75,0.37281725081530487,0.006127273303068264,11
0.75,0.4053986939516934,0.00648758827517909,11
0.75,0.4444709772413427,0.004788697075985536,11
0.75,0.4821440358956655,0.0061036669815960195,15
1.0,0.21751289665699,0.04853283065538935,10
1.0,0.2576854220207999,0.03690174720040615,17
1.0,0.2990544667610755,0.021489214115168225,13
1.0,0.3352919792135556,0.005464798625388335,12
1.0,0.37281725081530487,0.02779388958162796,11
1.0,0.4053986939516934,0.03909815345817718,11
1.0,0.4444709772413427,0.00611723073333999,11
1.0,0.4821440358956655,0.02980630177742312,15
