phase,family,condition,severity,severity_unit,method,success_rate,full_rmse_mean,primary_error_name,primary_error_mean,stable_ratio_mean,capture_time_mean,settling_or_recovery_time_mean,forward_overshoot_mean,command_smoothness_mean,max_command_change_mean,held_out,source_file,notes
5.1,velocity_fault,velocity_coupling_alpha,0.0,alpha,PD+FF,1.0,0.4330287556375031,steady_rmse,0.0557829068837876,0.7215250000000002,5.5695,,0.0,1.0236956903528222e-05,,False,velocity_compensation_fault_summary.csv,Controller-path feedforward estimate fault; PPO observations remain true. Direct PPO not exposed to this mechanism.
5.1,velocity_fault,velocity_coupling_alpha,0.0,alpha,Residual PPO,1.0,0.4043452926482432,steady_rmse,0.0172676669284068,0.8057999999999998,3.884,,0.0053199243545532,3.602985198257507e-05,,False,velocity_compensation_fault_summary.csv,Controller-path feedforward estimate fault; PPO observations remain true. Direct PPO not exposed to this mechanism.
5.1,velocity_fault,velocity_coupling_alpha,0.25,alpha,PD+FF,1.0,0.4093374132924899,steady_rmse,0.0225885534688713,0.7825749999999999,4.3485000000000005,,5.078315734863281e-07,1.4646487467064732e-05,,False,velocity_compensation_fault_summary.csv,Controller-path feedforward estimate fault; PPO observations remain true. Direct PPO not exposed to this mechanism.
5.1,velocity_fault,velocity_coupling_alpha,0.25,alpha,Residual PPO,1.0,0.3922741597980597,steady_rmse,0.0086974494375741,0.8276750000000002,3.446499999999999,,0.005344762802124,6.20769798648534e-05,,False,velocity_compensation_fault_summary.csv,Controller-path feedforward estimate fault; PPO observations remain true. Direct PPO not exposed to this mechanism.
5.1,velocity_fault,velocity_coupling_alpha,0.5,alpha,PD+FF,1.0,0.3922992513949799,steady_rmse,0.0028758743071812,0.8057249999999998,3.8855,,0.0085070216655731,3.132381420856815e-05,,False,velocity_compensation_fault_summary.csv,Controller-path feedforward estimate fault; PPO observations remain true. Direct PPO not exposed to this mechanism.
5.1,velocity_fault,velocity_coupling_alpha,0.5,alpha,Residual PPO,1.0,0.3861911674249596,steady_rmse,0.0067350401078292,0.8368999999999999,3.2620000000000005,,0.0053488445281982,9.128531404436704e-05,,False,velocity_compensation_fault_summary.csv,Controller-path feedforward estimate fault; PPO observations remain true. Direct PPO not exposed to this mechanism.
5.1,velocity_fault,velocity_coupling_alpha,0.75,alpha,PD+FF,1.0,0.3876377319191988,steady_rmse,0.0196639389258162,0.7500749999999999,5.0195,,0.153862897157669,7.448115554531489e-05,,False,velocity_compensation_fault_summary.csv,Controller-path feedforward estimate fault; PPO observations remain true. Direct PPO not exposed to this mechanism.
5.1,velocity_fault,velocity_coupling_alpha,0.75,alpha,Residual PPO,1.0,0.3841035362325344,steady_rmse,0.0088524274574419,0.8131999999999999,3.6915,,0.0267925384640693,0.0001328850722547,,False,velocity_compensation_fault_summary.csv,Controller-path feedforward estimate fault; PPO observations remain true. Direct PPO not exposed to this mechanism.
5.1,velocity_fault,velocity_coupling_alpha,1.0,alpha,PD+FF,0.02,0.428457954957377,steady_rmse,0.1378674499770019,0.366225,11.911,,0.40884306371212,0.0002901797709537,,False,velocity_compensation_fault_summary.csv,Controller-path feedforward estimate fault; PPO observations remain true. Direct PPO not exposed to this mechanism.
5.1,velocity_fault,velocity_coupling_alpha,1.0,alpha,Residual PPO,0.58,0.4057659064814298,steady_rmse,0.0650191371763809,0.5697249999999999,7.753000000000001,,0.1871842870116233,0.0003161919917786,,False,velocity_compensation_fault_summary.csv,Controller-path feedforward estimate fault; PPO observations remain true. Direct PPO not exposed to this mechanism.
5.2,position_noise,position_observation_noise,0.0,m,PD+FF,1.0,0.4330287542939186,steady_rmse,0.0557829068228602,0.7215250000000002,5.5695,5.5695,0.0,1.023695691856119e-05,0.0117104809777811,False,observation_noise_summary.csv,
5.2,position_noise,position_observation_noise,0.0,m,Direct PPO,1.0,0.3845086766779422,steady_rmse,0.0063297923095524,0.8410750000000001,3.1795,3.1795,0.0074892652034759,0.0023249562643468,0.4500536586344242,False,observation_noise_summary.csv,
5.2,position_noise,position_observation_noise,0.0,m,Residual PPO,1.0,0.404345293790102,steady_rmse,0.0172676667757332,0.8057999999999998,3.884,3.884,0.0053199243545532,3.60298520536162e-05,0.0549444590136408,False,observation_noise_summary.csv,
5.2,position_noise,position_observation_noise,0.01,m,PD+FF,1.0,0.433041156232357,steady_rmse,0.0558007950335741,0.7215500000000001,5.569,5.569,0.0005518913269042,9.159894092590548e-05,0.0256912500038743,False,observation_noise_summary.csv,
5.2,position_noise,position_observation_noise,0.01,m,Direct PPO,1.0,0.3845161047577858,steady_rmse,0.0063921678601764,0.8406250000000002,3.1999999999999997,3.1999999999999997,0.009822335243225,0.0197765639517456,0.4903562459349632,False,observation_noise_summary.csv,
5.2,position_noise,position_observation_noise,0.01,m,Residual PPO,1.0,0.4043668669462203,steady_rmse,0.0174243655335158,0.8057500000000001,3.885,3.885,0.0064288067817687,0.0001806086888245,0.0591552890092134,False,observation_noise_summary.csv,
5.2,position_noise,position_observation_noise,0.03,m,PD+FF,1.0,0.4330971021950245,steady_rmse,0.0559595045633614,0.7213500000000002,5.573,5.573,0.002653841972351,0.0007425792870344,0.0693883183225989,False,observation_noise_summary.csv,
5.2,position_noise,position_observation_noise,0.03,m,Direct PPO,1.0,0.384579956382513,steady_rmse,0.0085506797721609,0.8379249999999998,3.3080000000000003,3.6245,0.0138379740715026,0.1287010759115219,0.899083309173584,False,observation_noise_summary.csv,
5.2,position_noise,position_observation_noise,0.03,m,Residual PPO,1.0,0.4044880555570125,steady_rmse,0.018494348777458,0.8056749999999998,3.8865,3.8865,0.0089118385314941,0.0013381558703258,0.0980598915368318,False,observation_noise_summary.csv,
5.2,position_noise,position_observation_noise,0.05,m,PD+FF,1.0,0.4331969147920608,steady_rmse,0.056280058696866,0.7212500000000002,5.575,5.575,0.0049669218063354,0.0020443773071747,0.114897625669837,False,observation_noise_summary.csv,
