condition,method,success_rate,primary_error_name,primary_error_mean,forward_overshoot_mean,command_smoothness_mean
Velocity fault alpha=1.0,PD+FF,0.02,steady_rmse,0.1378674499770019,0.40884306371212,0.0002901797709537
Velocity fault alpha=1.0,Residual PPO,0.58,steady_rmse,0.0650191371763809,0.1871842870116233,0.0003161919917786
Position noise sigma=0.10 m,PD+FF,1.0,steady_rmse,0.0577603065222501,0.0112281370162963,0.0081430339906364
Position noise sigma=0.10 m,Direct PPO,0.86,steady_rmse,0.0289174489490687,0.0293980222940444,0.7193187916278839
Position noise sigma=0.10 m,Residual PPO,1.0,steady_rmse,0.0269067512266337,0.015540531873703,0.0143079884815961
Velocity noise sigma=0.10 m/s,PD+FF,1.0,steady_rmse,0.0660337996855378,0.0302912437915802,0.0490727738291025
Velocity noise sigma=0.10 m/s,Direct PPO,0.79,steady_rmse,0.0345537687651813,0.033350024819374,0.7898129463195801
Velocity noise sigma=0.10 m/s,Residual PPO,0.99,steady_rmse,0.0390729419142007,0.0345150995254516,0.0630472326651215
Observation delay 400 ms,PD+FF,1.0,steady_rmse,0.0316831197123974,3.004074096679688e-07,1.2249437943410158e-05
Observation delay 400 ms,Direct PPO,0.0,steady_rmse,0.1220917821675539,0.1896465623378753,0.0454007685929536
Observation delay 400 ms,Residual PPO,1.0,steady_rmse,0.0088704438391141,0.0061867183446884,7.714410268818028e-05
Vision loss 1.0 s,PD+FF,1.0,steady_rmse,0.0466614361488871,0.0,4.164231140748598e-05
Vision loss 1.0 s,Direct PPO,1.0,steady_rmse,0.0198479436574584,0.1258684027194976,0.0060328678623773
Vision loss 1.0 s,Residual PPO,1.0,steady_rmse,0.0113228841072892,0.0088933813571929,0.0001213820798147
Speed step,PD+FF,1.0,post_maneuver_rmse,0.0489331839581491,0.0,0.0001303135759371
Speed step,Direct PPO,1.0,post_maneuver_rmse,0.0108737051307627,0.0101380062103271,0.0036081686103716
Speed step,Residual PPO,1.0,post_maneuver_rmse,0.0183178509257478,0.0121797084808349,0.0002346427414158
Lateral sine,PD+FF,1.0,post_maneuver_rmse,0.0592322834929558,0.0018040109136822,0.0003730942195397
Lateral sine,Direct PPO,1.0,post_maneuver_rmse,0.1030901370919353,0.0513131408896259,0.0041451388131827
Lateral sine,Residual PPO,1.0,post_maneuver_rmse,0.0430585195947395,0.010521556062399,0.0004128609382314
Constant turn,PD+FF,1.0,post_maneuver_rmse,0.0512923123884439,0.0,2.604839552077465e-05
Constant turn,Direct PPO,0.53,post_maneuver_rmse,0.1509073448187514,0.0587360434971631,0.0023383358545834
Constant turn,Residual PPO,1.0,post_maneuver_rmse,0.0243523363505668,0.013838688396038,5.144233993632952e-05
