method,alpha,seed,initial_uav_x,initial_uav_y,ugv_vx,success,rmse,steady_rmse,max_tracking_error,final_error,final_relative_speed,stable_ratio,capture_time,forward_overshoot,ahead_ratio,command_smoothness,mean_abs_velocity_error,total_reward,held_out
Nominal Residual PPO,0.0,1000,-1.2179213762283325,0.20768369734287262,0.34128254652023315,True,0.3612095665501576,0.013683193356569064,1.2965424060821533,0.005001693498343229,1.3944091733719688e-05,0.8125,3.75,0.005000114440917969,0.505,3.379302830571665e-05,0.0,259.9993637975407,False
Nominal Residual PPO,0.0,1001,-1.0811076164245605,-0.9685990810394287,0.25630688667297363,True,0.3760833371911697,0.016620411467153002,1.4634742736816406,0.0019275072263553739,1.6550966392969713e-05,0.81,3.8000000000000003,0.0018596649169921875,0.4125,4.318963358177512e-05,0.0,256.1891897431613,False
Nominal Residual PPO,0.0,1002,-1.428768277168274,-0.28562131524086,0.4242836833000183,True,0.4624569899563298,0.02143478039041708,1.5500004291534424,0.007963348180055618,2.4469538402627222e-05,0.7875,4.25,0.007960319519042969,0.5075,3.21958141391968e-05,0.0,227.91166899013504,False
Nominal Residual PPO,0.0,1003,-1.7183640003204346,-0.48658838868141174,0.34840381145477295,True,0.5438386014875692,0.023328004221357272,1.8390741348266602,0.005236085969954729,2.6381725547253154e-05,0.7725,4.55,0.005235195159912109,0.4625,3.670249845655411e-05,0.0,207.31395074910705,False
Nominal Residual PPO,0.0,1004,-1.998679280281067,-0.7396973967552185,0.24154320359230042,True,0.6163114995931639,0.024074100971503774,2.150963544845581,0.0014178375713527203,2.4515633413102478e-05,0.7625,4.75,0.0012950897216796875,0.3375,4.4138096057378147e-05,0.0,191.08349627897863,False
Nominal Residual PPO,0.0,1005,-1.8766711950302124,0.8611240983009338,0.28618520498275757,True,0.602458150752614,0.020859227249441774,2.090625047683716,0.0029817847535014153,2.1567355361185037e-05,0.7675,4.65,0.0029582977294921875,0.43,3.913275566684782e-05,0.0,196.20108799596605,False
Nominal Residual PPO,0.0,1006,-1.4946178197860718,0.20171388983726501,0.28934937715530396,True,0.43632839985692107,0.015342537030091408,1.5514538288116455,0.0031171035952866077,1.1388018720026594e-05,0.795,4.1000000000000005,0.0030965805053710938,0.4525,3.615180466948677e-05,0.0,239.52566942113586,False
Nominal Residual PPO,0.0,1007,-1.8931626081466675,0.6319606900215149,0.39287856221199036,True,0.639272329207733,0.028452311478134054,2.0610768795013428,0.00684319855645299,2.6273884941474535e-05,0.755,4.9,0.006842613220214844,0.47,3.290406170896699e-05,0.0,179.26265936777395,False
Nominal Residual PPO,0.0,1008,-1.749120831489563,0.6261014938354492,0.26522985100746155,True,0.5335387922239125,0.017587458260093943,1.8834666013717651,0.002247939119115472,1.3434510037768632e-05,0.7775,4.45,0.0021986961364746094,0.415,3.8538380318687577e-05,0.0,214.28936454503875,False
Nominal Residual PPO,0.0,1009,-1.9152493476867676,-0.3461688160896301,0.2149554342031479,True,0.5579289327199792,0.019593172796348646,1.9666138887405396,0.0007689861813560128,1.8362397895543836e-05,0.77,4.6000000000000005,0.0003190040588378906,0.2275,4.177825498661061e-05,0.0,206.28245329694454,False
Nominal Residual PPO,0.0,1010,-1.8575115203857422,0.07161146402359009,0.4753030240535736,True,0.6557147704746803,0.03814190542191486,1.9881092309951782,0.00969989225268364,4.745781552628614e-05,0.74,5.2,0.009691238403320312,0.4725,2.869144137685064e-05,0.0,164.7495236318369,False
Nominal Residual PPO,0.0,1011,-1.57381272315979,0.12664707005023956,0.26378002762794495,True,0.45351419651851005,0.015551381617374729,1.6155236959457397,0.0021974556148052216,1.2921393135911785e-05,0.79,4.2,0.0021457672119140625,0.4175,3.744530796841603e-05,0.0,234.55191526294527,False
Nominal Residual PPO,0.0,1012,-1.5405192375183105,0.561293363571167,0.2715309262275696,True,0.463281165026422,0.015351935720208347,1.6671758890151978,0.0024710961151868105,1.3396152098721359e-05,0.7925,4.15,0.0024318695068359375,0.4375,3.762917657094962e-05,0.0,233.94531953723305,False
Nominal Residual PPO,0.0,1013,-0.8082606196403503,-0.8420410752296448,0.401797890663147,True,0.3158614603824914,0.015486035028494724,1.1964707374572754,0.0071718767285346985,2.0352317733340897e-05,0.8175,3.6500000000000004,0.007170677185058594,0.5375,4.797574726555492e-05,0.0,268.49429491738664,False
Nominal Residual PPO,0.0,1014,-1.3467140197753906,0.1714046150445938,0.4693894386291504,True,0.44937043517983744,0.021657643846899416,1.4806573390960693,0.009526695124804974,3.117717642453499e-05,0.79,4.2,0.009518623352050781,0.5225,2.8957786616225076e-05,0.0,230.5157233365461,False
Nominal Residual PPO,0.0,1015,-1.4601455926895142,0.21413566172122955,0.39239153265953064,True,0.4592255012025719,0.01915055645009371,1.5589067935943604,0.006839871406555176,1.858260111475829e-05,0.79,4.2,0.006839275360107422,0.5025,3.176390257426672e-05,0.0,230.80010414715863,False
Nominal Residual PPO,0.0,1016,-1.6580126285552979,-0.11461202055215836,0.3060871958732605,True,0.49482224578775713,0.018821691029434946,1.7121773958206177,0.0036991529632359743,2.37389267567778e-05,0.7825,4.3500000000000005,0.003688335418701172,0.45,3.61181014158881e-05,0.0,222.42609751015348,False
Nominal Residual PPO,0.0,1017,-0.62247234582901,0.6426637768745422,0.4917738139629364,True,0.25498970475691984,0.01284474221072207,0.9478725790977478,0.010344062931835651,7.2557045314169955e-06,0.8425,3.1500000000000004,0.010333061218261719,0.6025,2.99068269153022e-05,0.0,289.29779459431927,False
Nominal Residual PPO,0.0,1018,-1.1090368032455444,-0.0900818482041359,0.4614541530609131,True,0.3585906440022958,0.017075959334439558,1.2328956127166748,0.009289258159697056,1.357173914584564e-05,0.8125,3.75,0.009282112121582031,0.54,3.0020571858631074e-05,0.0,257.86163563289193,False
Nominal Residual PPO,0.0,1019,-1.674609661102295,-0.20800989866256714,0.34006524085998535,True,0.5148280684656397,0.02096084951867998,1.748307704925537,0.004948955029249191,1.822301965148654e-05,0.7775,4.45,0.004947185516357422,0.465,3.525796714085987e-05,0.0,215.53915945659907,False
Nominal Residual PPO,0.0,1020,-1.1319496631622314,-0.4326494336128235,0.2227078378200531,True,0.319119361798938,0.01222703075551813,1.2291920185089111,0.000903709908016026,1.3788575415674131e-05,0.825,3.5,0.0006151199340820312,0.33,3.7560317634568556e-05,0.0,273.64321795349304,False
Nominal Residual PPO,0.0,1021,-1.4384177923202515,-0.8382971882820129,0.49743902683258057,True,0.5359554323992696,0.02965970171279438,1.7444440126419067,0.010492485947906971,3.0480723580694757e-05,0.7675,4.65,0.010480880737304688,0.505,3.482867424302613e-05,0.0,202.50735871727744,False
Nominal Residual PPO,0.0,1022,-1.999210000038147,0.8368335366249084,0.37694433331489563,True,0.6856614998964229,0.029940199147362852,2.218454360961914,0.006273310631513596,2.497606328688562e-05,0.7475,5.050000000000001,0.0062732696533203125,0.46,3.501401607418453e-05,0.0,167.18609746618944,False
Nominal Residual PPO,0.0,1023,-1.4916963577270508,0.8117974996566772,0.4728805720806122,True,0.5421852511930904,0.02607387677191626,1.7737066745758057,0.00964532233774662,3.221473525627516e-05,0.7725,4.55,0.009636878967285156,0.5125,3.101288991504753e-05,0.0,204.84807693641926,False
Nominal Residual PPO,0.0,1024,-1.51630699634552,-0.48329436779022217,0.3110935389995575,True,0.4610966797741957,0.018551961620146364,1.631180763244629,0.003881096839904785,2.3821952709113248e-05,0.7925,4.15,0.003872394561767578,0.4575,3.8642499517637953e-05,0.0,232.7596933817429,False
Nominal Residual PPO,0.0,1025,-0.7683239579200745,0.258014976978302,0.24864348769187927,True,0.20762118218142367,0.007234308348121746,0.8374007940292358,0.001686630304902792,5.382567451306386e-06,0.8575,2.85,0.0015974044799804688,0.4675,3.6361616692333016e-05,0.0,307.6098173454345,False
Nominal Residual PPO,0.0,1026,-1.7438942193984985,0.19023452699184418,0.2583710551261902,True,0.509953556653324,0.01727477500172671,1.788628101348877,0.0020020385272800922,1.5804791473783553e-05,0.78,4.4,0.0019388198852539062,0.4,3.7808728070422176e-05,0.0,219.63868166285107,False
Nominal Residual PPO,0.0,1027,-1.9580382108688354,0.12429128587245941,0.36954861879348755,True,0.6339989595425122,0.028007719825647155,2.037653923034668,0.005995755549520254,2.9756920412182808e-05,0.7525,4.95,0.005995750427246094,0.4575,3.27447717083837e-05,0.0,179.67170893802458,False
Nominal Residual PPO,0.0,1028,-0.7757433652877808,-0.22796711325645447,0.4025936424732208,True,0.23994916693895374,0.011350352446504218,0.8892406821250916,0.007213898003101349,1.2916766536363866e-05,0.8475,3.0500000000000003,0.007212638854980469,0.5575,3.6491334304203955e-05,0.0,294.9285432877692,False
Nominal Residual PPO,0.0,1029,-0.7448340058326721,0.6458722352981567,0.214758962392807,True,0.23715332595249355,0.008169655058761046,0.9937342405319214,0.0007768401992507279,3.2304915293934755e-06,0.8575,2.85,0.00034046173095703125,0.3525,3.674378597434332e-05,0.0,302.4008520692159,False
Nominal Residual PPO,0.0,1030,-1.6447029113769531,-0.9496257901191711,0.4438457489013672,True,0.5955281522002314,0.031078558350822964,1.9598075151443481,0.008641497232019901,3.102056143688969e-05,0.7625,4.75,0.008636474609375,0.485,3.807864858859114e-05,0.0,189.93411208663127,False
Nominal Residual PPO,0.0,1031,-0.9611496329307556,0.9009804725646973,0.39864641427993774,True,0.36069608613804366,0.014625694541133258,1.349510669708252,0.0070791481994092464,1.0611074685584754e-05,0.8225,3.5500000000000003,0.0070781707763671875,0.5575,3.718185160182717e-05,0.0,263.5714123039674,False
Nominal Residual PPO,0.0,1032,-0.6833899617195129,-0.5306191444396973,0.49894750118255615,True,0.26024492422186873,0.01449673767591098,0.9415234923362732,0.010577704757452011,1.2755440366163384e-05,0.8325,3.35,0.010565757751464844,0.575,3.376680796471618e-05,0.0,283.3675646528552,False
Nominal Residual PPO,0.0,1033,-0.7577928304672241,0.7459949851036072,0.4761985242366791,True,0.30142455224302767,0.01404701410006488,1.111611008644104,0.009787026792764664,1.764213084243238e-05,0.8325,3.35,0.009778022766113281,0.5875,3.062750376871184e-05,0.0,277.1402848393554,False
Nominal Residual PPO,0.0,1034,-0.5296080112457275,-0.6777904629707336,0.22327283024787903,True,0.20482997411697815,0.009737574264769667,0.8656488060951233,0.0009202964720316231,1.0575606211205013e-05,0.8525,2.95,0.0006427764892578125,0.3625,4.088414020888503e-05,0.0,304.0723398128063,False
Nominal Residual PPO,0.0,1035,-1.5201642513275146,-0.23973245918750763,0.436818927526474,True,0.5005165022576762,0.02403917001419142,1.6411229372024536,0.008398514240980148,2.8070231564925052e-05,0.7775,4.45,0.008394241333007812,0.5,3.129054166415558e-05,0.0,215.63828291877954,False
Nominal Residual PPO,0.0,1036,-1.558912754058838,0.6018440127372742,0.34900519251823425,True,0.49636031526192276,0.01874446498900065,1.7183763980865479,0.005269885063171387,2.006366958084982e-05,0.785,4.3,0.005269050598144531,0.4875,3.439545554681501e-05,0.0,222.8572546139213,False
Nominal Residual PPO,0.0,1037,-1.5164998769760132,-0.3818822205066681,0.38270920515060425,True,0.48075794834040486,0.021110840268792567,1.6335798501968384,0.006482794415205717,2.308582406840287e-05,0.785,4.3,0.006482601165771484,0.49,3.450655534941406e-05,0.0,224.30279398381023,False
Nominal Residual PPO,0.0,1038,-1.5098652839660645,-0.8029577136039734,0.31811848282814026,True,0.4864528418480248,0.02071700329344498,1.7404906749725342,0.004146654158830643,1.9305562091176398e-05,0.79,4.2,0.004140377044677734,0.4575,4.174105140315877e-05,0.0,226.6839415655979,False
