method,alpha,held_out,success_rate,rmse_mean,rmse_std,steady_rmse_mean,capture_time_mean,stable_ratio_mean,forward_overshoot_mean,command_smoothness_mean
Nominal Residual PPO,0.0,False,1.0,0.40434529264824326,0.13876278684396945,0.017267666928406894,3.8840000000000003,0.8057999999999998,0.005319924354553223,3.602985198257507e-05
Robust Residual PPO,0.0,False,1.0,0.40184425571350924,0.1402735471581949,0.008759565870244245,4.136,0.7931999999999999,0.0012850487232208252,1.7774418027163547e-05
Nominal Residual PPO,0.25,False,1.0,0.39227415979805974,0.13998842141085177,0.008697449437574126,3.446499999999999,0.8276750000000002,0.005344762802124024,6.20769798648534e-05
Robust Residual PPO,0.25,False,1.0,0.3910072075568474,0.14096231564516704,0.004340966073931568,3.7015000000000002,0.8149250000000001,0.0012882006168365477,3.0097162789417434e-05
Nominal Residual PPO,0.5,False,1.0,0.3861911674249596,0.14200597312011512,0.006735040107829235,3.2620000000000005,0.8368999999999999,0.005348844528198242,9.128531404436705e-05
Robust Residual PPO,0.5,False,1.0,0.3855868996276567,0.14268841327443993,0.0030119877505107506,3.4635000000000002,0.826825,0.0013101673126220703,6.940500307210697e-05
Nominal Residual PPO,0.75,False,1.0,0.3841035362325344,0.1425300333489352,0.008852427457441999,3.6914999999999996,0.8131999999999999,0.026792538464069367,0.00013288507225470608
Robust Residual PPO,0.75,False,1.0,0.3844409173051499,0.1435130345925598,0.0033500437700334823,3.6060000000000003,0.8198750000000001,0.006086158454418182,0.000132623420778731
Nominal Residual PPO,1.0,True,0.58,0.40576590648142985,0.13542266759794236,0.06501913717638091,7.753000000000001,0.5697249999999999,0.18718428701162337,0.00031619199177868333
Robust Residual PPO,1.0,True,0.95,0.40243770122228173,0.1415731059505859,0.03794121803509506,6.092000000000001,0.68325,0.12292708456516266,0.0003243491707745993
