method,seed,loss_start_time,loss_duration,loss_end_time,success,recovered,retained_recovery,rmse,steady_rmse,stable_ratio,capture_time,recovery_time,retained_settling_time,loss_window_peak_error,post_loss_peak_error,forward_overshoot,post_loss_forward_overshoot,command_smoothness,max_command_change,final_error,final_relative_speed,initial_uav_x,initial_uav_y,ugv_vx
PD+FF,1000,3.0,0.0,3.0,True,True,True,0.39136920259042873,0.0498858334477673,0.7275,5.45,2.45,2.45,0.0,0.46239152550697327,0.0,0.0,9.253983989765402e-06,0.011309412308037281,0.00018216944590676576,8.522508869646117e-05,-1.2179213762283325,0.20768369734287262,0.34128254652023315
PD+FF,1001,3.0,0.0,3.0,True,True,True,0.41132993506816545,0.05017564786796571,0.7275,5.45,2.45,2.45,0.0,0.4650852084159851,0.0,0.0,1.2107148904760834e-05,0.012563809752464294,0.0001892554573714733,8.807434642221779e-05,-1.0811076164245605,-0.9685990810394287,0.25630688667297363
PD+FF,1002,3.0,0.0,3.0,True,True,True,0.48672124605415235,0.06424156060945477,0.7,6.0,3.0,3.0,0.0,0.5954186320304871,0.0,0.0,9.875688192551024e-06,0.012706439010798931,0.0002367127890465781,0.00010997827484970912,-1.428768277168274,-0.28562131524086,0.4242836833000183
PD+FF,1003,3.0,0.0,3.0,True,True,True,0.5702424958963775,0.0744303737563496,0.6825,6.3500000000000005,3.3500000000000005,3.3500000000000005,0.0,0.6898513436317444,0.0,0.0,1.3503862646757625e-05,0.01448912639170885,0.00027939255232922733,0.0001302628224948421,-1.7183640003204346,-0.48658838868141174,0.34840381145477295
PD+FF,1004,3.0,0.0,3.0,True,True,True,0.6472413327880703,0.08279843590836816,0.6725,6.550000000000001,3.5500000000000007,3.5500000000000007,0.0,0.7674297094345093,0.0,0.0,1.9440163669059984e-05,0.017156504094600677,0.0003115232684649527,0.0001450748968636617,-1.998679280281067,-0.7396973967552185,0.24154320359230042
PD+FF,1005,3.0,0.0,3.0,True,True,True,0.6315238411553381,0.08100856202219854,0.675,6.5,3.5,3.5,0.0,0.7508432865142822,0.0,0.0,1.8657719920156524e-05,0.016464684158563614,0.0003047782520297915,0.00014202846796251833,-1.8766711950302124,0.8611240983009338,0.28618520498275757
PD+FF,1006,3.0,0.0,3.0,True,True,True,0.4673650982127279,0.059480900027275074,0.7075,5.8500000000000005,2.8500000000000005,2.8500000000000005,0.0,0.5513181686401367,0.0,0.0,1.291574244532967e-05,0.013271658681333065,0.0002086157473968342,9.824447624851018e-05,-1.4946178197860718,0.20171388983726501,0.28934937715530396
PD+FF,1007,3.0,0.0,3.0,True,True,True,0.6590248995585948,0.08976596560348055,0.6625,6.75,3.75,3.75,0.0,0.8318341374397278,0.0,0.0,1.2814587535103783e-05,0.013735984452068806,0.00032426786492578685,0.00015194929437711835,-1.8931626081466675,0.6319606900215149,0.39287856221199036
PD+FF,1008,3.0,0.0,3.0,True,True,True,0.5649934098469755,0.07190040612780797,0.6875,6.25,3.25,3.25,0.0,0.6664354801177979,0.0,0.0,1.7375461538904347e-05,0.015731336548924446,0.00025792987435124815,0.00012115007848478854,-1.749120831489563,0.6261014938354492,0.26522985100746155
PD+FF,1009,3.0,0.0,3.0,True,True,True,0.5897301692318037,0.07501934410414626,0.6825,6.3500000000000005,3.3500000000000005,3.3500000000000005,0.0,0.6953380703926086,0.0,0.0,1.7958480384550057e-05,0.016424525529146194,0.0002777756890282035,0.00012928456999361515,-1.9152493476867676,-0.3461688160896301,0.2149554342031479
