method,loss_duration,success_rate,recovery_rate,retained_recovery_rate,rmse_mean,steady_rmse_mean,stable_ratio_mean,capture_time_mean,recovery_time_mean,recovery_time_std,retained_settling_time_mean,loss_window_peak_error_mean,post_loss_peak_error_mean,forward_overshoot_mean,post_loss_forward_overshoot_mean,command_smoothness_mean,max_command_change_mean
PD+FF,0.0,1.0,1.0,1.0,0.43302875563750315,0.05578290688378769,0.7215250000000002,5.5695,2.5694999999999997,0.7701264506559946,2.5694999999999997,0.0,0.5170111185312272,0.0,0.0,1.023695691856119e-05,0.011710480977781117
Direct PPO,0.0,1.0,1.0,1.0,0.3845086758555819,0.006329792258952385,0.8410750000000001,3.1795,0.38350000000000006,0.4551403629650968,0.38350000000000006,0.0,0.19449524533003568,0.007489265203475952,0.007352702617645264,0.002324956264346838,0.4500536586344242
Residual PPO,0.0,1.0,1.0,1.0,0.40434529264824326,0.017267666928406894,0.8057999999999998,3.8840000000000003,0.8985000000000001,0.6317220512218962,0.8985000000000001,0.0,0.3500880354642868,0.005319924354553223,0.005319924354553223,3.60298520536162e-05,0.05494445901364088
PD+FF,0.2,1.0,1.0,1.0,0.4328721047881025,0.05542779969761371,0.7221750000000001,5.556500000000001,2.3565,0.7714160680203648,2.3565,0.5169648045301437,0.47031675919890403,0.0,0.0,1.1898767647835484e-05,0.026655050441622734
Direct PPO,0.2,1.0,1.0,1.0,0.3844900298545076,0.006464418165736126,0.8400250000000001,3.21,0.311,0.4134960701143361,0.311,0.19438668141141535,0.14205788983032108,0.011395230293273925,0.011107451319694518,0.0025504547433229164,0.48529019445180893
Residual PPO,0.2,1.0,1.0,1.0,0.404261059551517,0.017042369431181228,0.8061999999999999,3.876000000000001,0.7210000000000001,0.5837028353537441,0.7210000000000001,0.3500289572775364,0.2973755757510662,0.005320272445678711,0.005320272445678711,3.898471768479794e-05,0.055877675376832484
PD+FF,0.5,1.0,1.0,1.0,0.43226989762673473,0.05369092362264973,0.72555,5.489,1.9890000000000005,0.7719967616512392,1.9890000000000005,0.5169648045301437,0.4026742517948151,0.0,0.0,1.88410293594643e-05,0.05753479076549411
Direct PPO,0.5,1.0,1.0,1.0,0.3846972973342953,0.007493901547656216,0.8327,3.3595000000000006,0.32350000000000007,0.5052452374837393,0.32350000000000007,0.19438668141141535,0.09952310308348387,0.0339512836933136,0.0335338968038559,0.003832566404598765,0.6847082658112049
Residual PPO,0.5,1.0,1.0,1.0,0.403988944107174,0.015902969229927306,0.8058999999999998,3.8820000000000006,0.4905000000000001,0.45495576708071306,0.4905000000000001,0.3500289572775364,0.22233005449175836,0.0053223705291748045,0.0053223705291748045,5.233068246525363e-05,0.08112355418503285
PD+FF,0.8,1.0,1.0,1.0,0.4313806822851245,0.0501905452286192,0.732525,5.349499999999999,1.5495,0.7635278318437384,1.5495,0.5169648045301437,0.3360470393300056,0.0,0.0,3.0845307637719085e-05,0.0877266163751483
Direct PPO,0.8,1.0,1.0,1.0,0.38564151123483115,0.012167481990179205,0.8188,3.65,0.4820000000000004,0.6934161809476326,0.4820000000000004,0.19438668141141535,0.10404774283524602,0.0832872760295868,0.08272949397563935,0.005244731076527387,0.8836079114675521
Residual PPO,0.8,1.0,1.0,1.0,0.40366553485094797,0.013435112470721761,0.8040749999999999,3.9185000000000003,0.2980000000000004,0.2981543224573475,0.2980000000000004,0.3500289572775364,0.15034221407026052,0.005940291285514832,0.005940291285514832,8.25292961235391e-05,0.12243311647325754
PD+FF,1.0,1.0,1.0,1.0,0.43070703312811737,0.04666143614888716,0.7395250000000001,5.2095,1.2095000000000002,0.7363319563892362,1.2095000000000002,0.5169648045301437,0.29181411892175674,0.0,0.0,4.164231140748598e-05,0.10772900186479091
Direct PPO,1.0,1.0,1.0,1.0,0.38699385126271385,0.01984794365745847,0.8077249999999999,3.8745000000000003,0.6235000000000002,0.8284761613951243,0.6235000000000002,0.19763970280066132,0.1316585249081254,0.12586840271949767,0.1252286911010742,0.006032867862377316,0.9978941412270069
Residual PPO,1.0,1.0,1.0,1.0,0.4034932931630733,0.011322884107289224,0.8008249999999998,3.9835000000000003,0.21100000000000008,0.1952664845794076,0.21100000000000008,0.3500289572775364,0.10627677856013179,0.008893381357192993,0.008893381357192993,0.00012138207981479354,0.16028631519526243
