method,scenario,seed,success,reacquired,rmse,pre_maneuver_rmse,post_maneuver_rmse,post_p95_error,post_max_error,post_lateral_rmse,overall_stable_ratio,post_stable_ratio,reacquisition_time,forward_overshoot,command_smoothness,max_command_change,final_error,final_relative_speed,base_ugv_speed,max_ugv_speed
PD+FF,nominal,1000,True,True,0.39136920259042873,0.15353739359609433,0.0332358555492147,0.08566854894161224,0.11837166547775269,0.004141056155755449,0.7275,1.0,0.0,0.0,9.253983989765402e-06,0.011309412308037281,0.00018216944590676576,8.522508869646117e-05,0.34128254652023315,0.34128254652023315
PD+FF,nominal,1001,True,True,0.41132993506816545,0.15442899321395778,0.03342904672297442,0.08616731315851212,0.11905952543020248,0.01986711718881094,0.7275,1.0,0.0,0.0,1.2107148904760834e-05,0.012563809752464294,0.0001892554573714733,8.807434642221779e-05,0.25630688667297363,0.25630688667297363
PD+FF,nominal,1002,True,True,0.48672124605415235,0.1977184487324279,0.04280097019518038,0.11032308638095856,0.15243488550186157,0.005695077106362533,0.7,0.99644128113879,0.0,0.0,9.875688192551024e-06,0.012706439010798931,0.0002367127890465781,0.00010997827484970912,0.4242836833000183,0.4242836833000183
PD+FF,nominal,1003,True,True,0.5702424958963775,0.2290752899498385,0.04958978239410464,0.12781961262226105,0.1766098141670227,0.009702214579930216,0.6825,0.9715302491103203,0.35000000000000053,0.0,1.3503862646757625e-05,0.01448912639170885,0.00027939255232922733,0.0001302628224948421,0.34840381145477295,0.34840381145477295
PD+FF,nominal,1004,True,True,0.6472413327880703,0.2548323806713391,0.05516426389595492,0.14219063520431519,0.1964675486087799,0.01489831619976646,0.6725,0.9572953736654805,0.5500000000000007,0.0,1.9440163669059984e-05,0.017156504094600677,0.0003115232684649527,0.0001450748968636617,0.24154320359230042,0.24154320359230042
PD+FF,nominal,1005,True,True,0.6315238411553381,0.24932539804254653,0.05397122493615941,0.13911710679531097,0.19222161173820496,0.017504388114018225,0.675,0.9608540925266904,0.5,0.0,1.8657719920156524e-05,0.016464684158563614,0.0003047782520297915,0.00014202846796251833,0.28618520498275757,0.28618520498275757
PD+FF,nominal,1006,True,True,0.4673650982127279,0.1830673901385804,0.03962889044986619,0.1021466925740242,0.14113874733448029,0.004022025286407111,0.7075,1.0,0.0,0.0,1.291574244532967e-05,0.013271658681333065,0.0002086157473968342,9.824447624851018e-05,0.28934937715530396,0.28934937715530396
PD+FF,nominal,1007,True,True,0.6590248995585948,0.27627537504334304,0.05980674269219397,0.15415585041046143,0.21300008893013,0.01264677208781532,0.6625,0.9430604982206405,0.75,0.0,1.2814587535103783e-05,0.013735984452068806,0.00032426786492578685,0.00015194929437711835,0.39287856221199036,0.39287856221199036
PD+FF,nominal,1008,True,True,0.5649934098469755,0.2212919575023435,0.04790321814188437,0.12347374111413956,0.17060790956020355,0.0125272189647439,0.6875,0.9786476868327402,0.25,0.0,1.7375461538904347e-05,0.015731336548924446,0.00025792987435124815,0.00012115007848478854,0.26522985100746155,0.26522985100746155
PD+FF,nominal,1009,True,True,0.5897301692318037,0.23089114611115757,0.04998121724133632,0.12883113324642181,0.17800934612751007,0.0069023447963587805,0.6825,0.9715302491103203,0.35000000000000053,0.0,1.7958480384550057e-05,0.016424525529146194,0.0002777756890282035,0.00012928456999361515,0.2149554342031479,0.2149554342031479
PD+FF,nominal,1010,True,True,0.669784710034737,0.30580669317010367,0.06619731171151079,0.1706300973892212,0.2357657104730606,0.0014278798138977129,0.6525,0.9288256227758007,0.9500000000000002,0.0,7.943538548715878e-06,0.011787151917815208,0.0003825050953309983,0.00017739208124112338,0.4753030240535736,0.4753030240535736
PD+FF,nominal,1011,True,True,0.4848319950331099,0.189430839647148,0.041006268736179435,0.10569606721401215,0.14604416489601135,0.0025252481384474236,0.705,1.0,0.0,0.0,1.3891313756175805e-05,0.013753852806985378,0.00022026598162483424,0.00010332273814128712,0.26378002762794495,0.26378002762794495
PD+FF,nominal,1012,True,True,0.49596547974684563,0.1927766074838296,0.041730074280190835,0.10756304860115051,0.14862363040447235,0.011204793575122276,0.7025,1.0,0.0,0.0,1.5104847989277914e-05,0.014041231945157051,0.00022886469378136098,0.00010705483873607591,0.2715309262275696,0.2715309262275696
PD+FF,nominal,1013,True,True,0.34751963169154154,0.13281550650784205,0.02875056956414066,0.07410641014575958,0.10239572823047638,0.017087066980060496,0.7425,1.0,0.0,0.0,8.645255547889974e-06,0.010300816036760807,0.0001675401726970449,7.779265433782712e-05,0.401797890663147,0.401797890663147
PD+FF,nominal,1014,True,True,0.47035271408178286,0.19412024349308904,0.042020932175821854,0.10831333696842194,0.14965976774692535,0.0034176808538458154,0.7025,1.0,0.0,0.0,8.174680260708556e-06,0.011730053462088108,0.0002477251982782036,0.00011487104347907007,0.4693894386291504,0.4693894386291504
PD+FF,nominal,1015,True,True,0.4849007343402186,0.1952586046898102,0.04226597284120615,0.10894667357206345,0.15053623914718628,0.004269709174550424,0.7,0.99644128113879,0.0,0.0,1.0737347110989504e-05,0.01325275469571352,0.0002286761737195775,0.00010717355326050892,0.39239153265953064,0.39239153265953064
PD+FF,nominal,1016,True,True,0.523944202773205,0.20787465368401306,0.04499843568411455,0.11598784476518631,0.16026388108730316,0.0022852793289569037,0.695,0.9893238434163701,0.10000000000000053,0.0,1.3606318134407047e-05,0.014452640898525715,0.0002592314558569342,0.0001204273576149717,0.3060871958732605,0.3060871958732605
PD+FF,nominal,1017,True,True,0.28519752841121065,0.11144746369554047,0.02412336655019235,0.062182240188121796,0.08592107146978378,0.012869721601908466,0.7625,1.0,0.0,0.0,5.959328973403899e-06,0.008361628279089928,0.0001299832365475595,6.0997186665190384e-05,0.4917738139629364,0.4917738139629364
PD+FF,nominal,1018,True,True,0.3848990472020418,0.1561373635144341,0.033799157834406394,0.08712061494588852,0.12037621438503265,0.0017961645091771727,0.725,1.0,0.0,0.0,8.032200639718212e-06,0.010755002498626709,0.0001719491119729355,8.170118235284463e-05,0.4614541530609131,0.4614541530609131
PD+FF,nominal,1019,True,True,0.5413253223837368,0.21695471693353172,0.04696483650207574,0.12105532735586166,0.16726496815681458,0.004147561159745526,0.69,0.9822064056939501,0.20000000000000018,0.0,1.2651531505980529e-05,0.014506306499242783,0.0002499657275620848,0.0001174947974504903,0.34006524085998535,0.34006524085998535
PD+FF,nominal,1020,True,True,0.3516785214818252,0.13299832181040847,0.028789485238118143,0.07420852780342102,0.102536641061306,0.00862670662670558,0.7425,1.0,0.0,0.0,8.466949111607391e-06,0.010744811035692692,0.00016398723528254777,7.610748434672132e-05,0.2227078378200531,0.2227078378200531
PD+FF,nominal,1021,True,True,0.5578307176501182,0.23306098995572735,0.05045156669943337,0.13004371523857117,0.17968328297138214,0.017005369462996526,0.6825,0.9715302491103203,0.35000000000000053,0.0,1.1136644388898276e-05,0.011856011115014553,0.00027326575946062803,0.0001280457800021395,0.49743902683258057,0.49743902683258057
PD+FF,nominal,1022,True,True,0.7060252962422066,0.2959975098516795,0.06407491982382706,0.1651589423418045,0.22820430994033813,0.01697409981774666,0.655,0.9323843416370107,0.9000000000000004,0.0,1.4988871043897234e-05,0.014383488334715366,0.0003435486287344247,0.00016127314302138984,0.37694433331489563,0.37694433331489563
PD+FF,nominal,1023,True,True,0.5634070232477367,0.23340396434902067,0.05052429921336598,0.13023152947425842,0.1799456924200058,0.01643907255941229,0.6825,0.9715302491103203,0.35000000000000053,0.0,1.1616323718044441e-05,0.0124141164124012,0.000292059441562742,0.00013524768291972578,0.4728805720806122,0.4728805720806122
PD+FF,nominal,1024,True,True,0.49306007007397995,0.1936672536598666,0.0419233017490527,0.10806053131818771,0.14931057393550873,0.009636529743647438,0.7025,1.0,0.0,0.0,1.4109899893810507e-05,0.013781343586742878,0.00024198778555728495,0.00011246983922319487,0.3110935389995575,0.3110935389995575
PD+FF,nominal,1025,True,True,0.23797246387193213,0.08960080484566361,0.019395993273009605,0.04999546706676483,0.06907948106527328,0.005144626539436252,0.785,1.0,0.0,0.0,4.064035238116048e-06,0.007569118402898312,0.00010410708637209609,4.877444007433951e-05,0.24864348769187927,0.24864348769187927
PD+FF,nominal,1026,True,True,0.5404785615829938,0.21247956141123794,0.04599573062797813,0.11855895072221756,0.16381511092185974,0.0037931342744339912,0.6925,0.9857651245551602,0.15000000000000036,0.0,1.5523391994065605e-05,0.015091853216290474,0.0002507434692233801,0.00011735523003153503,0.2583710551261902,0.2583710551261902
PD+FF,nominal,1027,True,True,0.6535987210320188,0.274130548840668,0.05934148221565176,0.15295737981796265,0.21134528517723083,0.0024782761691327124,0.665,0.9466192170818505,0.7000000000000002,0.0,1.1462567272246815e-05,0.013933063484728336,0.0003293035551905632,0.00015373490168713033,0.36954861879348755,0.36954861879348755
PD+FF,nominal,1028,True,True,0.26742359154788914,0.10489656837883152,0.02270694646986068,0.05852912366390228,0.08087150752544403,0.00454549434340901,0.7675,1.0,0.0,0.0,4.667063876695465e-06,0.00797688215970993,0.00012557105219457299,5.8620447816792876e-05,0.4025936424732208,0.4025936424732208
PD+FF,nominal,1029,True,True,0.2721712676243171,0.10074309390260205,0.02180723223000653,0.05621076002717018,0.0776689425110817,0.012936721550199447,0.7725,1.0,0.0,0.0,5.7732477216632105e-06,0.00884232483804226,0.00011888256267411634,5.567484186030924e-05,0.214758962392807,0.214758962392807
PD+FF,nominal,1030,True,True,0.6191851169446929,0.2562014241913766,0.055460137678568666,0.1429523229598999,0.19752183556556702,0.019442486027956455,0.6725,0.9572953736654805,0.5500000000000007,0.0,1.3882283383281901e-05,0.013323070481419563,0.00030121952295303345,0.00014150234346743673,0.4438457489013672,0.4438457489013672
PD+FF,nominal,1031,True,True,0.3954124093163905,0.15208900585286622,0.032922329427205826,0.08486074954271317,0.11725538223981857,0.01837601432806674,0.7275,1.0,0.0,0.0,1.0768076208478305e-05,0.011537126265466213,0.0001802272308850661,8.437269571004435e-05,0.39864641427993774,0.39864641427993774
PD+FF,nominal,1032,True,True,0.28817547323558085,0.11423837134590296,0.024728566461595457,0.06374204158782959,0.08807412534952164,0.010580155913411497,0.76,1.0,0.0,0.0,5.8058112699654885e-06,0.008362779393792152,0.0001285581529373303,6.0355283494573087e-05,0.49894750118255615,0.49894750118255615
PD+FF,nominal,1033,True,True,0.33336796669060864,0.13006359946180177,0.028154701279677615,0.07257154583930969,0.10027409344911575,0.015032894836553597,0.745,1.0,0.0,0.0,7.841154001653194e-06,0.00961918756365776,0.0001713000820018351,7.865240331739187e-05,0.4761985242366791,0.4761985242366791
PD+FF,nominal,1034,True,True,0.233052768793083,0.08566904224422606,0.018544618584026652,0.047800321131944656,0.06604762375354767,0.013603242534357575,0.79,1.0,0.0,0.0,4.443073976290179e-06,0.007794696372002363,0.00010485007805982605,4.883089422946796e-05,0.22327283024787903,0.22327283024787903
PD+FF,nominal,1035,True,True,0.522029832838565,0.21543888112938797,0.04663772907516402,0.12021073698997498,0.16609694063663483,0.004780088246964664,0.69,0.9822064056939501,0.20000000000000018,0.0,9.358631359646097e-06,0.012494298629462719,0.00026359205367043614,0.0001227246248163283,0.436818927526474,0.436818927526474
PD+FF,nominal,1036,True,True,0.5252459813660698,0.20838340225769628,0.045110033131338545,0.11627335101366043,0.16065651178359985,0.012032239856785849,0.695,0.9893238434163701,0.10000000000000053,0.0,1.4114476471149828e-05,0.01447001937776804,0.00025260401889681816,0.00011793676094384864,0.34900519251823425,0.34900519251823425
PD+FF,nominal,1037,True,True,0.5074259929647925,0.20383220966411197,0.044124019533968474,0.11373299360275269,0.1571475863456726,0.007614453744428968,0.695,0.9893238434163701,0.10000000000000053,0.0,1.1634341717581265e-05,0.013623314909636974,0.00024446434690617025,0.00011430310405557975,0.38270920515060425,0.38270920515060425
PD+FF,nominal,1038,True,True,0.5201565030695375,0.20309900181281093,0.04396465484695626,0.11332378536462784,0.15658284723758698,0.016250180617840247,0.6975,0.9928825622775801,0.05000000000000071,0.0,1.6223546481342055e-05,0.0144917918369174,0.00024105171905830503,0.00011273635027464479,0.31811848282814026,0.31811848282814026
PD+FF,nominal,1039,True,True,0.2286804916212986,0.08887733804274532,0.019239542629168924,0.049591030925512314,0.06852124631404877,0.0007728019098476939,0.785,1.0,0.0,0.0,3.4817796858988004e-06,0.006991086062043905,0.00011737993190763518,5.412814425653778e-05,0.3661683201789856,0.3661683201789856
PD+FF,nominal,1040,True,True,0.29430136815607477,0.11396347661170395,0.024670285936089182,0.06358825415372849,0.08786170929670334,0.011250866364466514,0.76,1.0,0.0,0.0,6.050549018254969e-06,0.008748949505388737,0.0001421621855115518,6.683987157884985e-05,0.4134989380836487,0.4134989380836487
PD+FF,nominal,1041,True,True,0.2401630307198978,0.09581952915543057,0.02074058878728131,0.05346265435218811,0.07387270033359528,0.003923094935464402,0.7775,1.0,0.0,0.0,3.854061560559785e-06,0.007169817108660936,0.00012586548109538853,5.8172099670628086e-05,0.46515655517578125,0.46515655517578125
PD+FF,nominal,1042,True,True,0.4817689746075415,0.19279656401073128,0.041734695207160624,0.10757479816675186,0.1486392617225647,0.005096130872331552,0.7025,1.0,0.0,0.0,1.1459576853667386e-05,0.013338420540094376,0.00023061392130330205,0.00010768110951175913,0.3728010952472687,0.3728010952472687
PD+FF,nominal,1043,True,True,0.5941879942691555,0.23527865219970556,0.05093190457274421,0.1312796175479889,0.1813916563987732,0.016098748048078662,0.68,0.9679715302491103,0.40000000000000036,0.0,1.6782942111603916e-05,0.015799790620803833,0.00027608638629317284,0.00012926045747008175,0.31946444511413574,0.31946444511413574
PD+FF,nominal,1044,True,True,0.6310648636748264,0.24638803290552214,0.05333551946633954,0.1374770998954773,0.18995636701583862,0.01442065704348286,0.675,0.9608540925266904,0.5,0.0,2.0554389266180806e-05,0.017258545383810997,0.0002942763385362923,0.00013759471767116338,0.20961801707744598,0.20961801707744598
PD+FF,nominal,1045,True,True,0.2683267128464415,0.10474398002055478,0.022675215646535577,0.05844571813941002,0.08075477927923203,0.007880692080310328,0.7675,1.0,0.0,0.0,4.897060989605961e-06,0.007996262982487679,0.000123366029583849,5.847505235578865e-05,0.4158290922641754,0.4158290922641754
PD+FF,nominal,1046,True,True,0.6510306012780208,0.2725881875386806,0.05900661842176289,0.15209539234638214,0.21015554666519165,0.012537120255056045,0.665,0.9466192170818505,0.7000000000000002,0.0,1.268201413040515e-05,0.013842117041349411,0.0003236715856473893,0.00015148089732974768,0.39649125933647156,0.39649125933647156
PD+FF,nominal,1047,True,True,0.36413203434462094,0.14101023487341233,0.030525222039478737,0.07867882400751114,0.10871361196041107,0.0029894004048323405,0.735,1.0,0.0,0.0,8.29235250421334e-06,0.010809860192239285,0.00017340652993880212,8.07183314464055e-05,0.29876548051834106,0.29876548051834106
PD+FF,nominal,1048,True,True,0.3781713977154175,0.14920223663538656,0.032298804105508915,0.08325184136629105,0.1150302141904831,0.01539791609387291,0.73,1.0,0.0,0.0,9.578472599969245e-06,0.010756651870906353,0.00016570357547607273,7.830094546079636e-05,0.4824531674385071,0.4824531674385071
PD+FF,nominal,1049,True,True,0.5516440731617415,0.23015702982735364,0.04982183497728567,0.12842069566249847,0.17744258046150208,0.0018748128105952877,0.6825,0.9715302491103203,0.35000000000000053,0.0,9.226735528500285e-06,0.012505079619586468,0.0002739012415986508,0.00012818216055165976,0.43331217765808105,0.43331217765808105
PD+FF,nominal,1050,True,True,0.4567083709151338,0.1887511595100716,0.04085900531781148,0.10531805455684662,0.14552105963230133,0.008059146286517356,0.705,1.0,0.0,0.0,8.130743481160607e-06,0.011183705180883408,0.00022570573491975665,0.00010558211943134665,0.49881017208099365,0.49881017208099365
PD+FF,nominal,1051,True,True,0.2959114506693642,0.11088803237374906,0.024004348209303066,0.06187286972999573,0.08549094945192337,0.012044214819720327,0.7625,1.0,0.0,0.0,6.45936643195455e-06,0.00931263342499733,0.00013327223132364452,6.231918086996302e-05,0.2584548592567444,0.2584548592567444
PD+FF,nominal,1052,True,True,0.5016737617977888,0.19936763427207868,0.043155977275742066,0.11124054342508316,0.1537053883075714,0.0007295396288981732,0.6975,0.9928825622775801,0.05000000000000071,0.0,1.2792404959327541e-05,0.013857802376151085,0.00023368510301224887,0.00010956959158647805,0.32490968704223633,0.32490968704223633
PD+FF,nominal,1053,True,True,0.27604522983904123,0.10890101244690556,0.023573761924929392,0.06076464429497719,0.08395923674106598,0.007729341812227032,0.765,1.0,0.0,0.0,5.115535714139696e-06,0.008126680739223957,0.00012128568050684407,5.699795292457566e-05,0.44851720333099365,0.44851720333099365
PD+FF,nominal,1054,True,True,0.6611873594487506,0.27121160503406855,0.05870946406760418,0.15132874250411987,0.2090950906276703,0.012216673800319672,0.665,0.9466192170818505,0.7000000000000002,0.0,1.4456090866588056e-05,0.014762049540877342,0.0003149077820125967,0.00014781007484998554,0.3443475067615509,0.3443475067615509
PD+FF,nominal,1055,True,True,0.33794053805134483,0.1284562826330787,0.02780789266852545,0.07167661935091019,0.09903620183467865,0.016608725958538004,0.745,1.0,0.0,0.0,8.249693564721383e-06,0.010167498141527176,0.0001475450408179313,6.924118497408926e-05,0.37500709295272827,0.37500709295272827
PD+FF,nominal,1056,True,True,0.27792016940608405,0.10402516100772449,0.02251923961845011,0.05804393067955971,0.08019968122243881,0.01522031291033076,0.77,1.0,0.0,0.0,5.943630640103947e-06,0.008749747648835182,0.00012761447578668594,5.948036050540395e-05,0.33817118406295776,0.33817118406295776
PD+FF,nominal,1057,True,True,0.43635668159840524,0.17072959173153723,0.0369568958835266,0.09526100754737854,0.13162587583065033,0.00041867270009323103,0.715,1.0,0.0,0.0,1.1329720109642949e-05,0.012582065537571907,0.00020171543292235583,9.43007689784281e-05,0.2980625629425049,0.2980625629425049
PD+FF,nominal,1058,True,True,0.6558837657307224,0.2674764940385616,0.05790206760615691,0.14924564957618713,0.20621533691883087,0.01372422198135174,0.6675,0.9501779359430605,0.6500000000000004,0.0,1.5057858945510816e-05,0.014890632592141628,0.0003242169041186571,0.00015129866369534284,0.34246277809143066,0.34246277809143066
PD+FF,nominal,1059,True,True,0.4285553702296696,0.1680275482383036,0.03637234870496057,0.09375429898500443,0.12954403460025787,0.006938019088075728,0.7175,1.0,0.0,0.0,1.1081616321462207e-05,0.012188461609184742,0.0002090749330818653,9.724652773002163e-05,0.3298633396625519,0.3298633396625519
