method,scenario,success_rate,reacquisition_rate,rmse_mean,pre_maneuver_rmse_mean,post_maneuver_rmse_mean,post_maneuver_rmse_std,post_p95_error_mean,post_max_error_mean,post_lateral_rmse_mean,post_stable_ratio_mean,reacquisition_time_mean,reacquisition_time_std,forward_overshoot_mean,command_smoothness_mean,max_command_change_mean,final_error_mean
PD+FF,nominal,1.0,1.0,0.43302875563750315,0.17168613566913088,0.0371650441968474,0.012782345368795104,0.09579610016196966,0.13236410476267338,0.010351669252275488,0.9887544483985765,0.14000000000000012,0.24443813123160643,0.0,1.023695691856119e-05,0.011710480977781117,0.000205132503688219
Direct PPO,nominal,1.0,1.0,0.3845086758555819,0.010691859302597157,0.005768510021076489,0.0027984709301140617,0.006090140503365546,0.007599859843030572,0.001966156474723694,1.0,0.0,0.0,0.0055607914924621586,0.002324956264346838,0.4500536586344242,0.005886177758220583
Residual PPO,nominal,1.0,1.0,0.40434529264824326,0.055763566805145395,0.010706400383352356,0.003718488159895814,0.02596886646002531,0.03980129308998585,0.00294207615872578,1.0,0.0,0.0,0.005319924354553223,3.60298520536162e-05,0.05494445901364088,0.005379133819369599
PD+FF,speed_step,1.0,1.0,0.4338558942669117,0.17168613566913088,0.048933183958149155,0.013167260707095714,0.1295485605299473,0.14469177320599555,0.010351669252275488,0.9664056939501781,0.42400000000000054,0.4307830080214398,0.0,0.00013031357593717985,0.21883291095495225,0.00028989569706027395
Direct PPO,speed_step,1.0,1.0,0.38458964627283926,0.010691859302597157,0.010873705130762731,0.001686483155196654,0.012549582021310925,0.020204081097617746,0.0046339350602438946,0.9893950177935943,0.09900000000000056,0.0069999999999999785,0.010138006210327148,0.003608168610371649,0.647768871486187,0.011050764960236848
Residual PPO,speed_step,1.0,1.0,0.4045475204110452,0.055763566805145395,0.01831785092574785,0.003816097652026097,0.04539791353046894,0.05638713449239731,0.0032205470561770936,0.9909964412811391,0.07650000000000062,0.02495495942693547,0.012179708480834961,0.00023464274141588249,0.28011695086956023,0.012197636822238565
PD+FF,lateral_sine,1.0,1.0,0.43486149136597946,0.17168613566913088,0.05923228349295581,0.008207032051417611,0.11484321184456349,0.13962414242327215,0.033970886937633456,0.9685765124555159,0.39150000000000035,0.209291065265577,0.0018040109136822548,0.00037309421953978016,0.34555320501327513,0.019457561932504176
Direct PPO,lateral_sine,1.0,1.0,0.39548461941922985,0.010691859302597157,0.1030901370919353,0.0009735862716779403,0.14839769780635834,0.15143661931157112,0.08755011696434055,0.5979359430604982,0.4500000000000003,1.1102230246251565e-16,0.05131314088962595,0.004145138813182712,0.7931508380174637,0.09814995050430297
Residual PPO,lateral_sine,1.0,1.0,0.4060403845322784,0.055763566805145395,0.0430585195947395,0.0013855398252689759,0.06349904149770737,0.07166504990309477,0.033056613529989703,0.9788612099644131,0.24700000000000003,0.011874342087037875,0.010521556062399035,0.00041286093823146076,0.3512678679823875,0.03179003205150366
PD+FF,constant_turn,1.0,1.0,0.4341724354702554,0.17168613566913088,0.05129231238844398,0.011072876374729602,0.09615007139742375,0.13236410476267338,0.03069403295997955,0.9888256227758007,0.13900000000000012,0.24130685858466613,0.0,2.604839552077465e-05,0.011710480977781117,0.04200121589004993
Direct PPO,constant_turn,0.53,1.0,0.4085660146130913,0.010691859302597157,0.15090734481875143,0.036512478960083264,0.2212848849594593,0.22217502906918526,0.10516866733392559,0.5845551601423488,0.0,0.0,0.058736043497163194,0.00233833585458342,0.4500536586344242,0.031155953016132117
Residual PPO,constant_turn,1.0,1.0,0.40483935865236154,0.055763566805145395,0.024352336350566807,0.005609377282630706,0.037026485782116654,0.044121849443763496,0.019914595003532657,1.0,0.0,0.0,0.013838688396038062,5.144233993632952e-05,0.05494445901364088,0.03547949239611626
