method,alpha,seed,initial_uav_x,initial_uav_y,ugv_vx,success,rmse,steady_rmse,max_tracking_error,final_error,final_relative_speed,stable_ratio,capture_time,forward_overshoot,ahead_ratio,command_smoothness,mean_abs_velocity_error,total_reward
PD+FF,0.0,1000,-1.2179213762283325,0.20768369734287262,0.34128254652023315,True,0.39136920259042873,0.0498858334477673,1.2963263988494873,0.00018216944590676576,8.522508869646117e-05,0.7275,5.45,0.0,0.0,9.25398445748731e-06,0.0,209.56780558362956
PD+FF,0.0,1001,-1.0811076164245605,-0.9685990810394287,0.25630688667297363,True,0.41132993506816545,0.05017564786796571,1.4634742736816406,0.0001892554573714733,8.807434642221779e-05,0.7275,5.45,0.0,0.0,1.2107150224124382e-05,0.0,206.36947584113219
PD+FF,0.0,1002,-1.428768277168274,-0.28562131524086,0.4242836833000183,True,0.48672124605415235,0.06424156060945477,1.551334261894226,0.0002367127890465781,0.00010997827484970912,0.7,6.0,0.0,0.0,9.875689166335954e-06,0.0,177.7050309013139
PD+FF,0.0,1003,-1.7183640003204346,-0.48658838868141174,0.34840381145477295,True,0.5702424958963775,0.0744303737563496,1.8404462337493896,0.00027939255232922733,0.0001302628224948421,0.6825,6.3500000000000005,0.0,0.0,1.3503862304742233e-05,0.0,153.63941661759443
PD+FF,0.0,1004,-1.998679280281067,-0.7396973967552185,0.24154320359230042,True,0.6472413327880703,0.08279843590836816,2.151087999343872,0.0003115232684649527,0.0001450748968636617,0.6725,6.550000000000001,0.0,0.0,1.9440163971275638e-05,0.0,134.33867960585636
PD+FF,0.0,1005,-1.8766711950302124,0.8611240983009338,0.28618520498275757,True,0.6315238411553381,0.08100856202219854,2.0906567573547363,0.0003047782520297915,0.00014202846796251833,0.675,6.5,0.0,0.0,1.8657720387757054e-05,0.0,138.41602429855567
PD+FF,0.0,1006,-1.4946178197860718,0.20171388983726501,0.28934937715530396,True,0.4673650982127279,0.059480900027275074,1.551203727722168,0.0002086157473968342,9.824447624851018e-05,0.7075,5.8500000000000005,0.0,0.0,1.2915740926173563e-05,0.0,185.93703485441674
PD+FF,0.0,1007,-1.8931626081466675,0.6319606900215149,0.39287856221199036,True,0.6590248995585948,0.08976596560348055,2.060878276824951,0.00032426786492578685,0.00015194929437711835,0.6625,6.75,0.0,0.0,1.2814587621347126e-05,0.0,125.43399349981637
PD+FF,0.0,1008,-1.749120831489563,0.6261014938354492,0.26522985100746155,True,0.5649934098469755,0.07190040612780797,1.883493185043335,0.00025792987435124815,0.00012115007848478854,0.6875,6.25,0.0,0.0,1.7375460266024382e-05,0.0,157.58279855588057
PD+FF,0.0,1009,-1.9152493476867676,-0.3461688160896301,0.2149554342031479,True,0.5897301692318037,0.07501934410414626,1.967049241065979,0.0002777756890282035,0.00012928456999361515,0.6825,6.3500000000000005,0.0,0.0,1.7958481423563324e-05,0.0,150.6234576126619
PD+FF,0.0,1010,-1.8575115203857422,0.07161146402359009,0.4753030240535736,True,0.669784710034737,0.09935972205801859,1.9878859519958496,0.0003825050953309983,0.00017739208124112338,0.6525,6.95,0.0,0.0,7.943539042908468e-06,0.0,116.23849959023353
PD+FF,0.0,1011,-1.57381272315979,0.12664707005023956,0.26378002762794495,True,0.4848319950331099,0.061548378692955985,1.6153590679168701,0.00022026598162483424,0.00010332273814128712,0.705,5.9,0.0,0.0,1.3891313738684283e-05,0.0,181.43280973573854
PD+FF,0.0,1012,-1.5405192375183105,0.561293363571167,0.2715309262275696,True,0.49596547974684563,0.06263517431593733,1.6672598123550415,0.00022886469378136098,0.00010705483873607591,0.7025,5.95,0.0,0.0,1.5104846800112263e-05,0.0,178.1128222637796
PD+FF,0.0,1013,-0.8082606196403503,-0.8420410752296448,0.401797890663147,True,0.34751963169154154,0.04315329184694817,1.196731448173523,0.0001675401726970449,7.779265433782712e-05,0.7425,5.15,0.0,0.0,8.645254979649222e-06,0.0,224.89020959510094
PD+FF,0.0,1014,-1.3467140197753906,0.1714046150445938,0.4693894386291504,True,0.47035271408178286,0.06307174246165206,1.4802628755569458,0.0002477251982782036,0.00011487104347907007,0.7025,5.95,0.0,0.0,8.174680028018952e-06,0.0,181.66084950656062
PD+FF,0.0,1015,-1.4601455926895142,0.21413566172122955,0.39239153265953064,True,0.4849007343402186,0.06344073687722696,1.5585525035858154,0.0002286761737195775,0.00010717355326050892,0.7,6.0,0.0,0.0,1.073734611556611e-05,0.0,178.41134883464682
PD+FF,0.0,1016,-1.6580126285552979,-0.11461202055215836,0.3060871958732605,True,0.523944202773205,0.0675407599876095,1.7124427556991577,0.0002592314558569342,0.0001204273576149717,0.695,6.1000000000000005,0.0,0.0,1.360631711225456e-05,0.0,168.85603592264818
PD+FF,0.0,1017,-0.62247234582901,0.6426637768745422,0.4917738139629364,True,0.28519752841121065,0.03620952195942351,0.9505263566970825,0.0001299832365475595,6.0997186665190384e-05,0.7625,4.75,0.0,0.0,5.959329205849602e-06,0.0,245.20208246603636
PD+FF,0.0,1018,-1.1090368032455444,-0.0900818482041359,0.4614541530609131,True,0.3848990472020418,0.05073090086192368,1.233281135559082,0.0001719491119729355,8.170118235284463e-05,0.725,5.5,0.0,0.0,8.032200563662445e-06,0.0,208.99996278713948
PD+FF,0.0,1019,-1.674609661102295,-0.20800989866256714,0.34006524085998535,True,0.5413253223837368,0.07049151182817882,1.7489399909973145,0.0002499657275620848,0.0001174947974504903,0.69,6.2,0.0,0.0,1.265153183546951e-05,0.0,162.8727594295895
PD+FF,0.0,1020,-1.1319496631622314,-0.4326494336128235,0.2227078378200531,True,0.3516785214818252,0.04321227714740972,1.2301274538040161,0.00016398723528254777,7.610748434672132e-05,0.7425,5.15,0.0,0.0,8.466949586751748e-06,0.0,224.5766106988085
PD+FF,0.0,1021,-1.4384177923202515,-0.8382971882820129,0.49743902683258057,True,0.5578307176501182,0.07572476704069166,1.7463529109954834,0.00027326575946062803,0.0001280457800021395,0.6825,6.3500000000000005,0.0,0.0,1.1136645266136855e-05,0.0,154.55182695910048
PD+FF,0.0,1022,-1.999210000038147,0.8368335366249084,0.37694433331489563,True,0.7060252962422066,0.09617323986508793,2.218491315841675,0.0003435486287344247,0.00016127314302138984,0.655,6.9,0.0,0.0,1.498887260074744e-05,0.0,112.45986705832763
PD+FF,0.0,1023,-1.4916963577270508,0.8117974996566772,0.4728805720806122,True,0.5634070232477367,0.07583523624737641,1.7742201089859009,0.000292059441562742,0.00013524768291972578,0.6825,6.3500000000000005,0.0,0.0,1.1616323793629867e-05,0.0,153.70968861175658
PD+FF,0.0,1024,-1.51630699634552,-0.48329436779022217,0.3110935389995575,True,0.49306007007397995,0.06292482772691702,1.6324161291122437,0.00024198778555728495,0.00011246983922319487,0.7025,5.95,0.0,0.0,1.4109899326264365e-05,0.0,178.40502616773733
PD+FF,0.0,1025,-0.7683239579200745,0.258014976978302,0.24864348769187927,True,0.23797246387193213,0.02911241108497144,0.8376368880271912,0.00010410708637209609,4.877444007433951e-05,0.785,4.3,0.0,0.0,4.064035080864784e-06,0.0,264.9997051965846
PD+FF,0.0,1026,-1.7438942193984985,0.19023452699184418,0.2583710551261902,True,0.5404785615829938,0.0690372528292732,1.7884080410003662,0.0002507434692233801,0.00011735523003153503,0.6925,6.15,0.0,0.0,1.552339216011925e-05,0.0,164.72179415164862
PD+FF,0.0,1027,-1.9580382108688354,0.12429128587245941,0.36954861879348755,True,0.6535987210320188,0.0890684715518036,2.03737473487854,0.0003293035551905632,0.00015373490168713033,0.665,6.7,0.0,0.0,1.1462567783988404e-05,0.0,127.84140597004732
PD+FF,0.0,1028,-0.7757433652877808,-0.22796711325645447,0.4025936424732208,True,0.26742359154788914,0.034082101368172434,0.8906009197235107,0.00012557105219457299,5.8620447816792876e-05,0.7675,4.65,0.0,0.0,4.667063794835122e-06,0.0,251.12912839659126
PD+FF,0.0,1029,-0.7448340058326721,0.6458722352981567,0.214758962392807,True,0.2721712676243171,0.03273220324584068,0.9937382340431213,0.00011888256267411634,5.567484186030924e-05,0.7725,4.55,0.0,0.0,5.773247135078103e-06,0.0,253.19520634983067
PD+FF,0.0,1030,-1.6447029113769531,-0.9496257901191711,0.4438457489013672,True,0.6191851169446929,0.0832429401977821,1.960343360900879,0.00030121952295303345,0.00014150234346743673,0.6725,6.550000000000001,0.0,0.0,1.3882284214448685e-05,0.0,138.04121946862142
PD+FF,0.0,1031,-0.9611496329307556,0.9009804725646973,0.39864641427993774,True,0.3954124093163905,0.04941524147664555,1.3496158123016357,0.0001802272308850661,8.437269571004435e-05,0.7275,5.45,0.0,0.0,1.0768075885063582e-05,0.0,208.87348133013168
PD+FF,0.0,1032,-0.6833899617195129,-0.5306191444396973,0.49894750118255615,True,0.28817547323558085,0.03711699195043459,0.9458133578300476,0.0001285581529373303,6.0355283494573087e-05,0.76,4.800000000000001,0.0,0.0,5.805811670872404e-06,0.0,243.35169947703108
PD+FF,0.0,1033,-0.7577928304672241,0.7459949851036072,0.4761985242366791,True,0.33336796669060864,0.04225906390134669,1.1132664680480957,0.0001713000820018351,7.865240331739187e-05,0.745,5.1000000000000005,0.0,0.0,7.841153269127082e-06,0.0,228.2632655544906
PD+FF,0.0,1034,-0.5296080112457275,-0.6777904629707336,0.22327283024787903,True,0.233052768793083,0.027834761672033338,0.8656488060951233,0.00010485007805982605,4.883089422946796e-05,0.79,4.2,0.0,0.0,4.443074114778816e-06,0.0,268.2715840878475
PD+FF,0.0,1035,-1.5201642513275146,-0.23973245918750763,0.436818927526474,True,0.522029832838565,0.06999964600449743,1.6421329975128174,0.00026359205367043614,0.0001227246248163283,0.69,6.2,0.0,0.0,9.358631562317044e-06,0.0,165.86221680659492
PD+FF,0.0,1036,-1.558912754058838,0.6018440127372742,0.34900519251823425,True,0.5252459813660698,0.06770697695427373,1.7185168266296387,0.00025260401889681816,0.00011793676094384864,0.695,6.1000000000000005,0.0,0.0,1.411447634651158e-05,0.0,168.3347089782678
PD+FF,0.0,1037,-1.5164998769760132,-0.3818822205066681,0.38270920515060425,True,0.5074259929647925,0.06622773723220916,1.6350525617599487,0.00024446434690617025,0.00011430310405557975,0.695,6.1000000000000005,0.0,0.0,1.1634342197240236e-05,0.0,171.72799991545614
PD+FF,0.0,1038,-1.5098652839660645,-0.8029577136039734,0.31811848282814026,True,0.5201565030695375,0.06598910941080904,1.740796446800232,0.00024105171905830503,0.00011273635027464479,0.6975,6.050000000000001,0.0,0.0,1.622354673019421e-05,0.0,170.8411876222686
PD+FF,0.0,1039,-0.6960156559944153,-0.0387578122317791,0.3661683201789856,True,0.2286804916212986,0.0288774417562381,0.771571695804596,0.00011737993190763518,5.412814425653778e-05,0.785,4.3,0.0,0.0,3.481779823674584e-06,0.0,266.38124727850453
PD+FF,0.0,1040,-0.7547146081924438,0.5635512471199036,0.4134989380836487,True,0.29430136815607477,0.03702843531484202,0.992383599281311,0.0001421621855115518,6.683987157884985e-05,0.76,4.800000000000001,0.0,0.0,6.050549089923511e-06,0.0,242.652353575101
PD+FF,0.0,1041,-0.6478168964385986,-0.19675222039222717,0.46515655517578125,True,0.2401630307198978,0.031131953457462964,0.7900527119636536,0.00012586548109538853,5.8172099670628086e-05,0.7775,4.45,0.0,0.0,3.854061320786131e-06,0.0,260.4210738066779
PD+FF,0.0,1042,-1.463887333869934,-0.25558269023895264,0.3728010952472687,True,0.4817689746075415,0.06264185084483485,1.558529019355774,0.00023061392130330205,0.00010768110951175913,0.7025,5.95,0.0,0.0,1.1459576212207017e-05,0.0,180.24703068702806
PD+FF,0.0,1043,-1.7490100860595703,-0.7958716750144958,0.31946444511413574,True,0.5941879942691555,0.07644546823681421,1.9554578065872192,0.00027608638629317284,0.00012926045747008175,0.68,6.4,0.0,0.0,1.6782942080392385e-05,0.0,148.04312219937543
PD+FF,0.0,1044,-1.981444239616394,0.7169352173805237,0.20961801707744598,True,0.6310648636748264,0.08005426287919631,2.1214563846588135,0.0002942763385362923,0.00013759471767116338,0.675,6.5,0.0,0.0,2.0554392555955966e-05,0.0,139.02618410806164
PD+FF,0.0,1045,-0.7272861003875732,-0.39523494243621826,0.4158290922641754,True,0.2683267128464415,0.03403334282099006,0.8971077799797058,0.000123366029583849,5.847505235578865e-05,0.7675,4.65,0.0,0.0,4.8970610912984695e-06,0.0,250.9376198523152
PD+FF,0.0,1046,-1.868130087852478,0.6265861392021179,0.39649125933647156,True,0.6510306012780208,0.0885667163365407,2.0368404388427734,0.0003236715856473893,0.00015148089732974768,0.665,6.7,0.0,0.0,1.2682013936810778e-05,0.0,128.158682270898
PD+FF,0.0,1047,-1.1699552536010742,-0.14992530643939972,0.29876548051834106,True,0.36413203434462094,0.045816312393056335,1.2264246940612793,0.00017340652993880212,8.07183314464055e-05,0.735,5.300000000000001,0.0,0.0,8.292352664864042e-06,0.0,218.54532049703562
PD+FF,0.0,1048,-0.9076822996139526,-0.7630760073661804,0.4824531674385071,True,0.3781713977154175,0.048478165915555496,1.245028018951416,0.00016570357547607273,7.830094546079636e-05,0.73,5.4,0.0,0.0,9.578473469675925e-06,0.0,212.71755603889625
PD+FF,0.0,1049,-1.6127384901046753,0.09402617067098618,0.43331217765808105,True,0.5516440731617415,0.07478052172464522,1.7213773727416992,0.0002739012415986508,0.00012818216055165976,0.6825,6.3500000000000005,0.0,0.0,9.226736348883326e-06,0.0,156.37856674990027
PD+FF,0.0,1050,-1.2507070302963257,-0.40418457984924316,0.49881017208099365,True,0.4567083709151338,0.06132746486646338,1.4359177350997925,0.00022570573491975665,0.00010558211943134665,0.705,5.9,0.0,0.0,8.130743537796437e-06,0.0,185.31775496397182
PD+FF,0.0,1051,-0.8433747291564941,-0.6024307608604431,0.2584548592567444,True,0.2959114506693642,0.03602906875401683,1.0523221492767334,0.00013327223132364452,6.231918086996302e-05,0.7625,4.75,0.0,0.0,6.459366753202079e-06,0.0,244.1049321331608
PD+FF,0.0,1052,-1.577463150024414,-0.03658809885382652,0.32490968704223633,True,0.5016737617977888,0.06477614581838223,1.635766863822937,0.00023368510301224887,0.00010956959158647805,0.6975,6.050000000000001,0.0,0.0,1.279240389255637e-05,0.0,174.43145855078188
PD+FF,0.0,1053,-0.7320424914360046,-0.38764455914497375,0.44851720333099365,True,0.27604522983904123,0.035383180656643545,0.9124233722686768,0.00012128568050684407,5.699795292457566e-05,0.765,4.7,0.0,0.0,5.115535453326252e-06,0.0,248.10982733894187
PD+FF,0.0,1054,-1.9604523181915283,0.6108824014663696,0.3443475067615509,True,0.6611873594487506,0.0881199775140268,2.102992057800293,0.0003149077820125967,0.00014781007484998554,0.665,6.7,0.0,0.0,1.4456090495616624e-05,0.0,126.86169874781054
PD+FF,0.0,1055,-0.8035520911216736,-0.8197364807128906,0.37500709295272827,True,0.33794053805134483,0.04173753570441042,1.1733890771865845,0.0001475450408179313,6.924118497408926e-05,0.745,5.1000000000000005,0.0,0.0,8.249693840823184e-06,0.0,228.02320240595128
PD+FF,0.0,1056,-0.6173267960548401,-0.7547652125358582,0.33817118406295776,True,0.27792016940608405,0.033799548217262235,0.9912192821502686,0.00012761447578668594,5.948036050540395e-05,0.77,4.6000000000000005,0.0,0.0,5.943630555751971e-06,0.0,250.69315323423945
PD+FF,0.0,1057,-1.4013786315917969,-0.020997419953346252,0.2980625629425049,True,0.43635668159840524,0.055471427140475135,1.449831247329712,0.00020171543292235583,9.43007689784281e-05,0.715,5.7,0.0,0.0,1.1329721096711156e-05,0.0,195.41396552827644
PD+FF,0.0,1058,-1.9344123601913452,-0.6835842132568359,0.34246277809143066,True,0.6558837657307224,0.08690710178965226,2.0973598957061768,0.0003242169041186571,0.00015129866369534284,0.6675,6.65,0.0,0.0,1.5057858980858753e-05,0.0,129.15129819111618
PD+FF,0.0,1059,-1.3239208459854126,-0.34795770049095154,0.3298633396625519,True,0.4285553702296696,0.054593743898422024,1.420486569404602,0.0002090749330818653,9.724652773002163e-05,0.7175,5.65,0.0,0.0,1.1081615841249845e-05,0.0,197.84563085635313
PD+FF,0.0,1060,-0.5232435464859009,-0.8263487219810486,0.4775193929672241,True,0.29117305794848203,0.03610130396993186,1.0051456689834595,0.0001407265808666125,6.524972559418529e-05,0.7625,4.75,0.0,0.0,6.566031158895603e-06,0.0,244.39268140014315
PD+FF,0.0,1061,-1.0766786336898804,0.09924349933862686,0.28927016258239746,True,0.33157500580675653,0.041484366967720766,1.1256896257400513,0.00014822487719357014,6.950894749024883e-05,0.7475,5.050000000000001,0.0,0.0,7.03803726807403e-06,0.0,230.39493626458997
PD+FF,0.0,1062,-1.020176649093628,-0.6513675451278687,0.4292861223220825,True,0.38402391574630024,0.04907643158657891,1.2684944868087769,0.0001836131705204025,8.545170567231253e-05,0.7275,5.45,0.0,0.0,9.545206290561589e-06,0.0,210.71462993495527
